verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
12500,2.265667,0.011205,0.001532,9.341371,2.932347,13.71,0.89,14.63,99;
12500,2.255475,0.011484,0.001500,9.578117,2.967162,13.84,1.02,14.89,99;
12500,2.250227,0.011770,0.001501,9.536701,3.108191,14.04,0.92,14.98,99;
12500,2.261217,0.011786,0.001501,9.435336,3.123211,13.78,1.10,14.90,99;
12500,2.303204,0.011689,0.001499,9.576736,3.046333,14.03,0.96,15.01,99;
12500,2.256405,0.011814,0.001501,9.432912,3.113594,13.94,0.92,14.88,99;
12500,2.257829,0.011786,0.001501,9.362908,3.088838,13.80,0.98,14.79,99;
12500,2.250321,0.011538,0.001501,9.386969,3.043751,13.74,1.01,14.76,99;
12500,2.303237,0.011692,0.001505,9.542703,3.059736,14.00,0.97,14.99,99;
12500,2.250869,0.011315,0.001505,9.286942,2.909182,13.53,0.98,14.53,99;
12500,2.255296,0.011503,0.001500,9.459057,2.918760,13.70,1.00,14.72,99;
12500,2.292696,0.011235,0.001501,9.454116,2.908195,13.73,0.99,14.74,99;
12500,2.301905,0.011443,0.001502,9.470527,2.985674,13.90,0.92,14.84,99;
12500,2.290774,0.011514,0.001501,9.389764,2.990463,13.74,1.00,14.75,99;
12500,2.256430,0.011752,0.001501,9.625586,3.071307,14.08,0.94,15.03,99;
12500,2.298184,0.011663,0.001500,9.855365,3.130818,14.33,1.02,15.37,99;
12500,2.251716,0.011447,0.001502,9.535837,3.060239,13.92,1.00,14.93,99;
12500,2.259646,0.011342,0.001503,9.482834,2.957229,13.74,1.03,14.79,99;
12500,2.292014,0.011271,0.001498,9.367314,2.866368,13.58,1.01,14.61,99;
12500,2.301683,0.011337,0.001500,9.452291,2.906511,13.59,1.14,14.74,99;
12500,2.294982,0.011372,0.001506,9.148940,2.924243,13.31,1.12,14.45,99;
12500,2.250155,0.011841,0.001501,9.553717,3.120022,13.89,1.10,15.01,99;
12500,2.293361,0.011562,0.001498,9.451127,3.032252,13.72,1.12,14.86,99;
12500,2.252184,0.011489,0.001503,9.449576,3.055912,13.68,1.14,14.84,99;
12500,2.255344,0.011858,0.001502,9.582455,3.112550,13.83,1.18,15.03,99;
12500,2.298099,0.011322,0.001502,9.447554,2.913649,13.64,1.09,14.74,99;
12500,2.254852,0.011473,0.001504,9.560813,3.077805,13.81,1.15,14.98,99;
12500,2.291361,0.011432,0.001500,9.392628,2.930504,13.65,1.02,14.70,99;
12500,2.252255,0.011995,0.001500,9.603028,3.113270,14.01,1.03,15.06,99;
12500,2.421297,0.011437,0.001503,9.294502,2.933230,13.63,1.08,14.73,99;
12500,2.293366,0.011667,0.001500,9.232417,2.966601,13.52,1.04,14.58,99;
12500,2.262624,0.011407,0.001499,9.303895,2.936567,13.61,0.96,14.59,99;
12500,2.252022,0.011916,0.001502,9.517702,3.097201,13.99,0.94,14.95,99;
12500,2.295905,0.011595,0.001501,9.521603,2.930094,13.79,1.02,14.83,99;
12500,2.317334,0.011357,0.001500,9.441148,2.908713,13.78,0.95,14.75,99;
12500,2.291955,0.011571,0.001505,9.509683,2.993504,13.91,0.95,14.88,99;
12500,2.296284,0.011613,0.001503,9.292705,2.938747,13.50,1.09,14.61,99;
12500,2.257286,0.011681,0.001501,9.571585,3.036335,13.94,0.99,14.95,99;
12500,2.256728,0.011522,0.001499,9.569111,3.077283,13.88,1.09,14.99,99;
12500,2.289491,0.011438,0.001501,9.395380,2.878141,13.58,1.04,14.65,99;
12500,2.262746,0.011393,0.001500,9.363415,3.042968,13.80,0.94,14.75,99;
12500,2.252149,0.011697,0.001501,9.590816,3.089088,14.05,0.94,15.02,99;
12500,2.303173,0.011965,0.001500,9.640567,3.116440,14.13,1.00,15.15,99;
12500,2.300779,0.011331,0.001500,9.400918,2.913274,13.68,1.00,14.70,99;
12500,2.265289,0.011658,0.001503,9.374357,3.106476,13.85,0.96,14.83,99;
12500,2.253911,0.011941,0.001497,9.546523,3.103078,14.00,0.97,14.99,99;
12500,2.274378,0.011539,0.001501,9.586225,3.062678,14.00,0.98,15.01,99;
12500,2.250484,0.011341,0.001501,9.495234,2.967562,13.82,0.96,14.80,99;
12500,2.293303,0.011569,0.001500,9.346671,2.862978,13.60,0.97,14.59,99;
12500,2.252426,0.011769,0.001504,9.481951,3.025972,13.90,0.92,14.85,99;
