verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
12500,2.318971,0.017097,0.002320,9.434963,2.851866,13.64,1.05,14.71,99;
12500,2.402750,0.017504,0.002321,10.341728,3.143445,14.81,1.19,16.03,99;
12500,2.333295,0.017604,0.002310,9.281444,2.946147,13.55,1.10,14.67,99;
12500,2.394217,0.018012,0.002310,10.517465,3.150732,15.00,1.14,16.17,99;
12500,2.398657,0.017461,0.002311,10.422189,3.146374,15.04,1.01,16.08,99;
12500,2.380490,0.017666,0.002314,10.111494,3.131290,14.60,1.10,15.73,99;
12500,2.350992,0.017808,0.002315,9.926179,3.124660,14.51,0.98,15.51,99;
12500,2.320820,0.017468,0.002308,9.447535,2.834297,13.69,0.99,14.71,99;
12500,2.338684,0.016904,0.002311,9.411112,2.808221,13.53,1.10,14.66,99;
12500,2.365542,0.017265,0.002315,10.223927,3.145225,14.75,1.07,15.85,99;
12500,2.329298,0.017840,0.002315,9.426769,2.906676,13.72,1.02,14.77,99;
12500,2.321508,0.017580,0.002309,9.306259,2.986491,13.72,0.98,14.72,99;
12500,2.411660,0.018019,0.002301,10.350780,3.152624,14.92,1.07,16.03,99;
12500,2.294353,0.017422,0.002311,9.615191,2.986607,13.81,1.20,15.03,99;
12500,2.330590,0.017723,0.002313,9.426994,2.850726,13.63,1.06,14.72,99;
12500,2.373526,0.017269,0.002317,10.185209,3.145301,14.67,1.12,15.81,99;
12500,2.318649,0.017143,0.002306,9.267211,2.854704,13.47,1.05,14.54,99;
12500,2.329125,0.017599,0.002310,9.311150,2.908053,13.60,1.03,14.65,99;
12500,2.329935,0.017794,0.002320,9.279378,2.984235,13.56,1.12,14.70,99;
12500,2.334000,0.017583,0.002325,9.335964,2.989270,13.74,1.00,14.77,99;
12500,2.398324,0.017565,0.002307,9.311679,2.986632,13.74,1.04,14.80,99;
12500,2.337736,0.017636,0.002353,9.289806,2.962342,13.62,1.06,14.70,99;
12500,2.330614,0.017858,0.002306,9.459382,2.957636,13.78,1.05,14.85,99;
12500,2.321089,0.017561,0.002312,9.201488,2.866745,13.51,0.96,14.49,99;
12500,2.394894,0.017817,0.002305,10.502315,3.145995,15.10,1.03,16.15,99;
