verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
0,0.060551,0.000437,0.001876,0.000824,0.000001,0.03,0.03,0.07,94;
0,0.056226,0.000366,0.001897,0.000824,0.000001,0.03,0.03,0.07,97;
0,0.058330,0.000362,0.001875,0.000827,0.000001,0.03,0.04,0.07,97;
0,0.055718,0.000349,0.001876,0.000812,0.000001,0.02,0.04,0.09,75;
0,0.057804,0.000477,0.001878,0.000823,0.000002,0.02,0.04,0.07,95;
0,0.056870,0.000362,0.001876,0.000826,0.000001,0.03,0.03,0.09,76;
0,0.063136,0.000346,0.001879,0.000811,0.000002,0.03,0.04,0.10,78;
0,0.056670,0.000444,0.001878,0.000828,0.000001,0.02,0.04,0.07,95;
0,0.057246,0.000353,0.001873,0.000824,0.000001,0.03,0.03,0.09,73;
0,0.062906,0.000350,0.001873,0.000828,0.000003,0.03,0.04,0.07,96;
0,0.056228,0.000348,0.001874,0.000808,0.000001,0.03,0.03,0.07,95;
0,0.061495,0.000479,0.001873,0.000824,0.000001,0.03,0.04,0.10,74;
0,0.056518,0.000368,0.001877,0.000828,0.000001,0.02,0.04,0.09,76;
0,0.062405,0.000367,0.001875,0.000808,0.000001,0.02,0.04,0.07,96;
0,0.056720,0.000350,0.001874,0.000825,0.000002,0.02,0.04,0.07,97;
0,0.057088,0.000435,0.001876,0.000824,0.000001,0.03,0.03,0.07,94;
0,0.057920,0.000346,0.001874,0.000823,0.000001,0.02,0.04,0.07,93;
0,0.056583,0.000353,0.001875,0.000824,0.000001,0.02,0.04,0.09,75;
0,0.065031,0.000434,0.001880,0.000823,0.000001,0.02,0.05,0.08,96;
0,0.056346,0.000443,0.001878,0.000824,0.000001,0.03,0.03,0.07,95;
0,0.061905,0.000363,0.001870,0.000824,0.000001,0.03,0.04,0.07,96;
0,0.056711,0.000348,0.001879,0.000832,0.000002,0.03,0.04,0.07,94;
0,0.056242,0.000457,0.001874,0.000859,0.000001,0.02,0.04,0.07,95;
0,0.058546,0.000366,0.001876,0.000848,0.000001,0.03,0.03,0.09,73;
0,0.056005,0.000350,0.001896,0.000811,0.000001,0.02,0.04,0.09,76;
0,0.058090,0.000437,0.001879,0.000830,0.000001,0.03,0.03,0.07,96;
0,0.056259,0.000443,0.001882,0.000822,0.000002,0.03,0.04,0.07,96;
0,0.057221,0.000383,0.001876,0.000807,0.000003,0.03,0.03,0.09,75;
0,0.055584,0.000366,0.001878,0.000817,0.000000,0.03,0.03,0.07,95;
0,0.056150,0.000385,0.001879,0.000826,0.000000,0.02,0.04,0.07,97;
0,0.057964,0.000364,0.001877,0.000824,0.000003,0.03,0.04,0.07,96;
0,0.055837,0.000359,0.001874,0.000809,0.000001,0.02,0.04,0.10,73;
0,0.058227,0.000442,0.001874,0.000856,0.000001,0.03,0.04,0.07,96;
0,0.056818,0.000352,0.001877,0.000824,0.000002,0.03,0.03,0.07,96;
0,0.059895,0.000369,0.001874,0.000824,0.000001,0.02,0.04,0.07,97;
0,0.056484,0.000366,0.001874,0.000872,0.000001,0.03,0.03,0.07,95;
0,0.056466,0.000363,0.001877,0.000862,0.000003,0.02,0.04,0.07,95;
0,0.058066,0.000439,0.001895,0.000827,0.000001,0.03,0.04,0.07,94;
0,0.056555,0.000359,0.001878,0.000828,0.000002,0.02,0.04,0.09,72;
0,0.057890,0.000451,0.001874,0.000823,0.000001,0.02,0.04,0.07,97;
0,0.056394,0.000369,0.001871,0.000843,0.000001,0.03,0.04,0.07,94;
0,0.060594,0.000429,0.001895,0.000810,0.000003,0.03,0.03,0.09,78;
0,0.062347,0.000372,0.001887,0.000873,0.000001,0.03,0.04,0.07,96;
0,0.056923,0.000367,0.001878,0.000824,0.000001,0.02,0.04,0.07,94;
0,0.057004,0.000446,0.001874,0.000824,0.000002,0.02,0.04,0.07,95;
0,0.055289,0.000347,0.001879,0.000806,0.000002,0.02,0.04,0.07,96;
0,0.056633,0.000435,0.001876,0.000828,0.000003,0.02,0.04,0.07,97;
0,0.057792,0.000375,0.001875,0.000821,0.000000,0.03,0.03,0.07,96;
0,0.056890,0.000459,0.001871,0.000824,0.000001,0.02,0.04,0.07,94;
0,0.058050,0.000365,0.001880,0.000825,0.000001,0.02,0.04,0.07,97;
