verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
0,0.056509,0.000339,0.001432,0.000810,0.000001,0.03,0.03,0.07,95;
0,0.056840,0.000337,0.001434,0.000823,0.000001,0.03,0.03,0.07,94;
0,0.056011,0.000337,0.001432,0.000806,0.000001,0.02,0.04,0.07,95;
0,0.058666,0.000336,0.001435,0.000826,0.000000,0.02,0.04,0.07,96;
0,0.055635,0.000413,0.001432,0.000811,0.000000,0.01,0.05,0.07,95;
0,0.055741,0.000402,0.001435,0.000856,0.000001,0.02,0.04,0.07,95;
0,0.061403,0.000333,0.001434,0.000812,0.000001,0.02,0.05,0.09,76;
0,0.057776,0.000340,0.001432,0.000826,0.000001,0.02,0.04,0.09,78;
0,0.057949,0.000366,0.001433,0.000809,0.000001,0.02,0.04,0.07,95;
0,0.056779,0.000341,0.001430,0.000828,0.000001,0.02,0.04,0.07,94;
0,0.060476,0.000334,0.001434,0.000824,0.000001,0.02,0.04,0.07,96;
0,0.057015,0.000332,0.001435,0.000806,0.000000,0.03,0.03,0.07,95;
0,0.056923,0.000383,0.001435,0.000852,0.000002,0.03,0.03,0.07,95;
0,0.057906,0.000412,0.001436,0.000822,0.000001,0.03,0.04,0.07,95;
0,0.056330,0.000337,0.001432,0.000806,0.000001,0.03,0.03,0.07,95;
0,0.058599,0.000338,0.001434,0.000829,0.000001,0.04,0.03,0.09,78;
0,0.057515,0.000334,0.001431,0.000824,0.000001,0.02,0.04,0.09,77;
0,0.057211,0.000344,0.001435,0.000823,0.000001,0.02,0.04,0.07,97;
0,0.057632,0.000411,0.001427,0.000828,0.000001,0.02,0.04,0.09,77;
0,0.057062,0.000341,0.001430,0.000831,0.000000,0.02,0.04,0.07,95;
0,0.062735,0.000339,0.001430,0.000827,0.000000,0.03,0.04,0.07,96;
0,0.056904,0.000336,0.001433,0.000829,0.000001,0.03,0.03,0.07,95;
0,0.056941,0.000343,0.001432,0.000828,0.000001,0.03,0.03,0.07,95;
0,0.055763,0.000412,0.001433,0.000812,0.000001,0.02,0.04,0.07,95;
0,0.056350,0.000331,0.001432,0.000811,0.000001,0.02,0.04,0.07,95;
