verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
71094,0.038638,0.000243,0.527667,0.027042,0.038325,0.61,0.03,0.67,95;
71094,0.037324,0.000247,0.473432,0.026343,0.036733,0.51,0.06,0.61,94;
71094,0.037891,0.000241,0.473678,0.025721,0.035885,0.53,0.05,0.60,96;
71094,0.037437,0.000238,0.473433,0.025529,0.035510,0.53,0.05,0.60,96;
71094,0.038283,0.000254,0.472304,0.027625,0.038492,0.53,0.05,0.61,96;
71094,0.036384,0.000243,0.471604,0.027487,0.039173,0.52,0.06,0.59,98;
71094,0.037013,0.000238,0.471731,0.027899,0.038676,0.54,0.04,0.59,99;
71094,0.036216,0.000242,0.472398,0.027605,0.038697,0.54,0.04,0.59,98;
71094,0.044503,0.000238,0.473976,0.025410,0.035627,0.54,0.05,0.61,96;
71094,0.041548,0.000239,0.476561,0.027776,0.038413,0.55,0.04,0.61,96;
71094,0.038603,0.000232,0.473055,0.027727,0.038597,0.54,0.04,0.59,99;
71094,0.038742,0.000237,0.474231,0.027849,0.038684,0.54,0.05,0.59,99;
71094,0.038937,0.000238,0.474095,0.025438,0.035997,0.53,0.04,0.61,96;
71094,0.037865,0.000239,0.475067,0.026509,0.036064,0.54,0.04,0.60,96;
71094,0.036961,0.000250,0.473244,0.027818,0.039287,0.55,0.04,0.61,96;
71094,0.037515,0.000235,0.475230,0.025932,0.036581,0.54,0.04,0.60,96;
71094,0.040808,0.000243,0.475333,0.026295,0.035931,0.54,0.04,0.61,96;
71094,0.038552,0.000243,0.476302,0.027788,0.039228,0.55,0.04,0.61,96;
71094,0.037240,0.000345,0.473125,0.028064,0.039342,0.53,0.05,0.61,96;
71094,0.037707,0.000243,0.474245,0.025862,0.036425,0.53,0.04,0.60,96;
71094,0.037386,0.000234,0.478131,0.025347,0.035719,0.54,0.04,0.61,95;
71094,0.036534,0.000244,0.475940,0.028397,0.039211,0.56,0.03,0.61,96;
71094,0.045909,0.000237,0.477328,0.026268,0.036187,0.54,0.05,0.62,95;
71094,0.037004,0.000245,0.477028,0.027751,0.039544,0.56,0.03,0.61,96;
71094,0.037486,0.000238,0.475515,0.025557,0.035525,0.54,0.03,0.61,95;
