verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
118498,0.048014,0.000278,3.026958,0.059099,0.054617,3.15,0.04,3.23,99;
118498,0.048481,0.000270,3.032657,0.057367,0.051687,3.15,0.05,3.22,99;
118498,0.047535,0.000278,3.031321,0.058852,0.052399,3.15,0.04,3.22,99;
118498,0.050975,0.000286,3.034413,0.056849,0.053955,3.15,0.05,3.23,99;
118498,0.046897,0.000283,3.033107,0.059005,0.054279,3.15,0.06,3.23,99;
118498,0.047822,0.000287,3.031575,0.056094,0.051377,3.15,0.04,3.22,99;
118498,0.046994,0.000280,3.032454,0.058840,0.054484,3.15,0.05,3.23,99;
118498,0.048399,0.000283,3.024954,0.056555,0.051831,3.12,0.06,3.22,99;
118498,0.048136,0.000282,3.029437,0.059003,0.052629,3.14,0.05,3.22,99;
118498,0.047797,0.000263,3.030111,0.059581,0.055987,3.15,0.05,3.22,99;
118498,0.048550,0.000279,3.034355,0.057322,0.051226,3.15,0.05,3.22,99;
118498,0.046917,0.000263,3.037432,0.045819,0.044042,3.15,0.03,3.21,99;
118498,0.043182,0.000282,3.057169,0.058945,0.052205,3.16,0.06,3.24,99;
118498,0.047065,0.000288,3.026924,0.056744,0.053480,3.14,0.06,3.22,99;
118498,0.047502,0.000358,3.024790,0.060030,0.055725,3.14,0.05,3.22,99;
118498,0.052819,0.000289,3.032620,0.059179,0.052275,3.15,0.05,3.23,99;
118498,0.052599,0.000300,3.032071,0.059202,0.052050,3.14,0.06,3.23,99;
118498,0.047745,0.000281,3.031472,0.059145,0.055899,3.14,0.06,3.23,99;
118498,0.054673,0.000308,3.031761,0.057591,0.052875,3.15,0.05,3.23,99;
118498,0.047750,0.000280,3.029377,0.059132,0.052398,3.13,0.06,3.22,99;
118498,0.051446,0.000288,3.036126,0.057269,0.053531,3.15,0.06,3.23,99;
118498,0.051925,0.000291,3.032100,0.059167,0.053628,3.15,0.05,3.23,99;
118498,0.048066,0.000273,3.030103,0.062256,0.060315,3.15,0.06,3.23,99;
118498,0.048273,0.000292,3.029736,0.057702,0.052522,3.15,0.05,3.22,99;
118498,0.047926,0.000281,3.029669,0.059677,0.052763,3.13,0.06,3.22,99;
118498,0.048408,0.000274,3.031589,0.059199,0.053584,3.15,0.05,3.23,99;
118498,0.048023,0.000274,3.024575,0.056777,0.051779,3.15,0.04,3.22,99;
118498,0.048379,0.000286,3.030211,0.059347,0.052689,3.13,0.07,3.22,99;
118498,0.046876,0.000299,3.035049,0.056891,0.053314,3.16,0.04,3.22,99;
118498,0.047207,0.000300,3.034015,0.057267,0.054934,3.16,0.04,3.23,99;
118498,0.052203,0.000333,3.028087,0.073039,0.064679,3.18,0.05,3.25,99;
118498,0.053101,0.000267,3.029750,0.059194,0.055815,3.15,0.05,3.23,99;
118498,0.048944,0.000291,3.030165,0.057832,0.054232,3.14,0.05,3.22,99;
118498,0.047961,0.000256,3.024987,0.057538,0.053538,3.13,0.06,3.22,99;
118498,0.049064,0.000301,3.030713,0.059084,0.051208,3.14,0.06,3.22,99;
118498,0.047418,0.000280,3.030222,0.059681,0.053601,3.15,0.04,3.22,99;
118498,0.048003,0.000291,3.028158,0.057005,0.053738,3.14,0.05,3.22,99;
118498,0.051527,0.000283,3.028456,0.059244,0.052121,3.15,0.05,3.22,99;
118498,0.052130,0.000285,3.029895,0.059100,0.052007,3.16,0.04,3.23,99;
118498,0.047350,0.000272,3.030240,0.059204,0.055597,3.14,0.05,3.22,99;
118498,0.048478,0.000294,3.029962,0.057587,0.053709,3.15,0.05,3.22,99;
118498,0.047491,0.000278,3.025204,0.059202,0.053477,3.13,0.06,3.22,99;
118498,0.048384,0.000277,3.028611,0.059494,0.055170,3.14,0.06,3.22,99;
118498,0.048547,0.000272,3.030334,0.059750,0.056359,3.15,0.05,3.23,99;
118498,0.048070,0.000282,3.023993,0.056964,0.051001,3.12,0.07,3.22,99;
118498,0.050864,0.000260,3.028371,0.058974,0.055368,3.13,0.07,3.23,99;
118498,0.048408,0.000295,3.029054,0.057616,0.054138,3.13,0.07,3.22,99;
118498,0.047330,0.000280,3.031647,0.058893,0.050656,3.14,0.06,3.22,99;
118498,0.046706,0.000294,3.043761,0.045846,0.044200,3.13,0.05,3.21,99;
118498,0.043076,0.000278,3.050830,0.059076,0.053519,3.15,0.06,3.24,99;
