verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
25088,0.047043,0.000268,0.098987,0.007196,0.006361,0.12,0.04,0.17,97;
25088,0.039426,0.000288,0.099263,0.007555,0.007303,0.11,0.04,0.16,98;
25088,0.036039,0.000346,0.098877,0.007059,0.006868,0.12,0.04,0.16,98;
25088,0.039408,0.000264,0.099221,0.007071,0.006467,0.11,0.04,0.18,87;
25088,0.035038,0.000403,0.098800,0.007540,0.006949,0.11,0.04,0.16,98;
25088,0.042243,0.000268,0.099001,0.007211,0.006772,0.12,0.04,0.20,83;
25088,0.037099,0.000333,0.098994,0.007270,0.007163,0.11,0.05,0.18,88;
25088,0.036170,0.000269,0.098952,0.007025,0.006471,0.12,0.04,0.18,88;
25088,0.040296,0.000266,0.099297,0.007102,0.006666,0.12,0.04,0.18,87;
25088,0.034869,0.000293,0.098888,0.007677,0.007403,0.11,0.04,0.16,98;
25088,0.040452,0.000394,0.099514,0.007297,0.006563,0.11,0.05,0.16,98;
25088,0.039574,0.000277,0.099391,0.007068,0.006815,0.11,0.05,0.16,98;
25088,0.035701,0.000265,0.098994,0.007111,0.006470,0.12,0.03,0.18,87;
25088,0.035814,0.000283,0.098856,0.007783,0.007290,0.11,0.04,0.18,88;
25088,0.038217,0.000260,0.099518,0.007074,0.006533,0.12,0.03,0.16,98;
25088,0.035212,0.000378,0.098791,0.007025,0.006347,0.11,0.03,0.16,98;
25088,0.035416,0.000383,0.098888,0.007566,0.007446,0.12,0.03,0.18,89;
25088,0.035851,0.000342,0.098754,0.007264,0.006487,0.12,0.04,0.16,98;
25088,0.035882,0.000353,0.099443,0.007201,0.006823,0.12,0.03,0.18,88;
25088,0.036417,0.000349,0.099184,0.007065,0.006431,0.11,0.04,0.18,86;
25088,0.035500,0.000264,0.099031,0.007273,0.006818,0.10,0.05,0.16,97;
25088,0.040775,0.000370,0.099468,0.006997,0.006275,0.12,0.04,0.18,88;
25088,0.040322,0.000261,0.099352,0.006990,0.006696,0.12,0.04,0.18,88;
25088,0.035342,0.000364,0.099174,0.007178,0.006835,0.11,0.04,0.18,88;
25088,0.034948,0.000263,0.099315,0.007088,0.006533,0.11,0.04,0.16,98;
