verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
401408,0.079636,0.002822,26.221899,0.183665,0.149781,26.56,0.08,26.66,99;
401408,0.076151,0.002859,26.213182,0.176014,0.146384,26.55,0.07,26.64,99;
401408,0.076530,0.002882,26.203055,0.181370,0.144540,26.54,0.08,26.63,99;
401408,0.076102,0.002848,26.114598,0.177622,0.147088,26.43,0.10,26.57,99;
401408,0.077884,0.002827,26.219532,0.183546,0.146686,26.54,0.10,26.66,99;
401408,0.080314,0.002935,26.188920,0.179734,0.145275,26.52,0.08,26.65,99;
401408,0.075596,0.002976,26.220178,0.180478,0.151064,26.52,0.11,26.65,99;
401408,0.081221,0.002835,26.215570,0.178714,0.143443,26.54,0.09,26.64,99;
401408,0.075716,0.002999,26.205686,0.179983,0.148149,26.53,0.09,26.64,99;
401408,0.076993,0.002807,26.215296,0.177778,0.145131,26.52,0.10,26.64,99;
401408,0.076566,0.002939,26.204482,0.178339,0.150122,26.52,0.10,26.64,99;
401408,0.076059,0.002816,26.220399,0.180631,0.144801,26.54,0.09,26.65,99;
401408,0.076252,0.002942,26.217429,0.178895,0.148146,26.55,0.08,26.65,99;
401408,0.078214,0.002821,26.160833,0.182131,0.153314,26.48,0.10,26.63,99;
401408,0.076699,0.002936,26.215880,0.184884,0.146550,26.55,0.08,26.65,99;
401408,0.075331,0.002970,26.181503,0.179428,0.145469,26.52,0.07,26.61,99;
401408,0.080675,0.002850,26.176016,0.180939,0.148918,26.52,0.08,26.61,99;
401408,0.075706,0.002765,26.184182,0.180859,0.147213,26.50,0.10,26.61,99;
401408,0.075762,0.002940,26.199600,0.179594,0.146200,26.52,0.09,26.63,99;
401408,0.075935,0.002825,26.229272,0.178732,0.146937,26.55,0.09,26.65,99;
401408,0.077027,0.002951,26.215753,0.179928,0.146508,26.54,0.09,26.64,99;
401408,0.081791,0.002871,26.182879,0.185844,0.150712,26.52,0.10,26.62,99;
401408,0.076856,0.002943,26.215724,0.180346,0.148064,26.55,0.08,26.65,99;
401408,0.077379,0.002815,26.204237,0.181362,0.148637,26.54,0.08,26.65,99;
401408,0.076751,0.002840,26.178053,0.183511,0.149221,26.49,0.11,26.61,99;
401408,0.076995,0.002921,26.216192,0.177809,0.150016,26.54,0.09,26.64,99;
401408,0.079309,0.002866,26.171048,0.180284,0.151731,26.50,0.10,26.61,99;
401408,0.077999,0.002938,26.215123,0.181403,0.147532,26.52,0.11,26.65,99;
401408,0.078388,0.002862,26.199451,0.185972,0.148654,26.53,0.09,26.64,99;
401408,0.076473,0.003053,26.215161,0.184169,0.150934,26.55,0.08,26.65,99;
401408,0.078927,0.002924,26.160633,0.180335,0.150817,26.48,0.10,26.60,99;
401408,0.076704,0.002953,26.178168,0.181133,0.151218,26.49,0.10,26.61,99;
401408,0.076786,0.002809,26.219715,0.182142,0.145461,26.54,0.09,26.66,99;
401408,0.083325,0.002892,26.224435,0.179540,0.147257,26.56,0.09,26.66,99;
401408,0.075907,0.002808,26.217630,0.182267,0.149745,26.51,0.13,26.65,99;
401408,0.079839,0.002976,26.206478,0.177280,0.146030,26.50,0.12,26.64,99;
401408,0.076756,0.002914,26.211784,0.180258,0.146189,26.51,0.11,26.65,99;
401408,0.080276,0.002841,26.181194,0.181395,0.149907,26.51,0.10,26.65,99;
401408,0.081329,0.002865,26.220445,0.181145,0.147169,26.55,0.09,26.65,99;
401408,0.076927,0.002872,26.201906,0.182459,0.148296,26.54,0.07,26.64,99;
401408,0.081077,0.002800,26.217167,0.178434,0.145901,26.54,0.09,26.65,99;
401408,0.082050,0.002856,26.217464,0.177506,0.147919,26.54,0.10,26.66,99;
401408,0.078854,0.002814,26.213575,0.183766,0.147336,26.53,0.10,26.65,99;
401408,0.079971,0.002833,26.189691,0.179880,0.149265,26.53,0.08,26.64,99;
401408,0.077323,0.002904,26.218428,0.177629,0.146475,26.56,0.07,26.64,99;
401408,0.076898,0.002895,26.218293,0.179856,0.152131,26.52,0.11,26.65,99;
401408,0.081544,0.002975,26.219932,0.180323,0.150563,26.52,0.12,26.66,99;
401408,0.078915,0.002861,26.149651,0.177360,0.145264,26.48,0.08,26.59,99;
401408,0.078783,0.003075,26.221726,0.186921,0.154990,26.56,0.09,26.67,99;
401408,0.081410,0.002830,26.177333,0.184569,0.146795,26.49,0.11,26.61,99;
