Nvert,NvertAfterCuda,init,mpi_tarjan,split,merge,total_only_mpi,preprocess,conversion,finalize,user,system,elapsed,pCPU
500000,236518,0.128407,1.991151,0.153253,0.000400,1.991290,12.380064,0.128081,0.000460,33.79,10.83,17.32,257;
500000,236518,0.102271,1.590742,0.158215,0.000372,1.590884,12.403577,0.129288,0.000490,32.97,10.57,15.37,283;
500000,236518,0.108571,1.378791,0.153539,0.000391,1.378936,12.453610,0.126875,0.000425,32.67,10.31,16.63,258;
500000,236518,0.105390,1.570359,0.155639,0.000364,1.570593,12.438132,0.127106,0.000511,32.87,10.46,15.51,279;
500000,236518,0.062523,1.681597,0.122079,0.000314,1.681712,12.357699,0.095472,0.000416,32.77,10.55,16.75,258;
500000,236518,0.060583,1.475610,0.123896,0.000369,1.475730,12.378776,0.098023,0.000389,32.52,10.37,15.19,282;
500000,236518,0.069461,1.775923,0.121599,0.000323,1.776044,12.167472,0.154715,0.000451,33.11,10.31,16.69,260;
500000,236518,0.077021,1.250146,0.152002,0.000367,1.250279,12.346264,0.096681,0.000558,31.98,10.04,16.50,254;
500000,236518,0.102843,1.366515,0.154088,0.000367,1.366651,12.446481,0.127678,0.000512,32.53,10.40,15.37,279;
500000,236518,0.110179,1.783071,0.151395,0.000362,1.783207,12.351052,0.127909,0.000514,33.14,10.60,17.01,257;
500000,236518,0.058598,1.463772,0.120437,0.000343,1.463894,12.367823,0.094501,0.000416,32.41,10.27,16.81,253;
500000,236518,0.058073,1.905650,0.120174,0.000346,1.905779,12.353654,0.096043,0.000409,42.79,15.87,23.05,254;
500000,236518,0.106720,1.786472,0.151992,0.000394,1.786610,12.336793,0.169976,0.000530,33.32,10.66,17.11,256;
500000,236518,0.056520,1.777457,0.123445,0.000343,1.777593,12.393629,0.096807,0.000421,33.38,10.25,17.42,250;
500000,236518,0.116294,1.162352,0.152549,0.000361,1.162489,12.386887,0.127888,0.000474,31.66,10.14,14.66,285;
500000,236518,0.065074,1.838290,0.121686,0.000332,1.838411,12.426800,0.094421,0.000351,33.19,10.97,17.22,256;
500000,236518,0.065036,1.219166,0.119921,0.000353,1.219283,12.341022,0.095195,0.000384,31.65,9.92,17.22,241;
500000,236518,0.102186,1.371903,0.153320,0.000362,1.372030,12.422564,0.129809,0.000466,32.54,10.39,15.27,281;
500000,236518,0.066324,1.772728,0.152313,0.000371,1.772868,12.381918,0.096489,0.000770,33.31,10.32,16.91,258;
500000,236518,0.054089,1.379771,0.123925,0.000353,1.379889,12.466603,0.098979,0.000317,32.55,10.14,15.38,277;
500000,236518,0.110467,1.267954,0.155606,0.000403,1.268088,12.320470,0.128100,0.000425,31.97,9.79,16.40,254;
500000,236518,0.062937,1.466677,0.119983,0.000353,1.466796,12.335711,0.094026,0.000363,31.97,10.23,14.80,285;
500000,236518,0.062542,1.523007,0.185137,0.000449,1.523147,12.175822,0.162150,0.000422,32.35,9.78,16.36,257;
500000,236518,0.108664,1.263740,0.155226,0.000364,1.263882,12.412838,0.127380,0.000519,32.70,9.90,16.49,258;
500000,236518,0.060002,1.460305,0.125504,0.000317,1.460428,13.286551,0.107870,0.000319,34.67,11.17,16.44,278;
