Nvert,NvertAfterCuda,init,mpi_tarjan,split,merge,total_only_mpi,preprocess,conversion,finalize,user,system,elapsed,pCPU
51200,25088,0.071727,0.049629,0.002599,0.005090,0.049870,0.135150,0.007057,0.000325,0.48,0.13,0.57,108;
51200,25088,0.030138,0.064782,0.002716,0.005073,0.065092,0.116898,0.007139,0.000400,0.46,0.08,0.55,99;
51200,25088,0.031704,0.065051,0.002558,0.005138,0.065338,0.094219,0.007086,0.000373,0.40,0.07,0.50,94;
51200,25088,0.074374,0.065325,0.002719,0.005156,0.065649,0.133150,0.007169,0.000326,0.54,0.12,0.61,109;
51200,25088,0.027454,0.066359,0.002784,0.005174,0.066829,0.111149,0.007175,0.000355,0.45,0.05,0.51,99;
51200,25088,0.036052,0.065793,0.002719,0.005058,0.066184,0.094653,0.007139,0.000339,0.41,0.08,0.51,97;
51200,25088,0.027931,0.067935,0.002706,0.005050,0.068412,0.094440,0.007086,0.000395,0.41,0.05,0.50,95;
51200,25088,0.038528,0.049268,0.002542,0.004988,0.049576,0.132988,0.007164,0.000375,0.48,0.07,2.08,26;
51200,25088,0.042668,0.048927,0.002585,0.005122,0.049279,0.133192,0.007156,0.000372,0.48,0.07,2.08,26;
51200,25088,0.068864,0.052118,0.002977,0.007306,0.052567,0.125715,0.010009,0.000441,0.51,0.10,0.58,105;
51200,25088,0.069621,0.051284,0.002956,0.007337,0.051743,0.103186,0.009680,0.000447,0.45,0.10,0.56,99;
51200,25088,0.031571,0.066012,0.002703,0.005151,0.066598,0.094445,0.007269,0.000386,0.41,0.07,0.51,96;
51200,25088,0.069963,0.052600,0.003066,0.007456,0.053005,0.098016,0.009791,0.000437,0.42,0.12,0.53,102;
51200,25088,0.068838,0.052685,0.003105,0.007346,0.053201,0.132251,0.010162,0.000452,0.50,0.11,0.59,104;
51200,25088,0.031633,0.065992,0.002715,0.005077,0.066301,0.129470,0.007145,0.000341,0.50,0.06,0.55,103;
51200,25088,0.030434,0.066271,0.002723,0.005072,0.066577,0.094554,0.007171,0.000404,0.40,0.08,0.50,96;
51200,25088,0.069457,0.048408,0.002557,0.005205,0.048814,0.092745,0.007073,0.000425,0.42,0.10,0.53,99;
51200,25088,0.046001,0.047913,0.002457,0.005001,0.048257,0.132938,0.007195,0.000338,0.47,0.08,2.08,26;
51200,25088,0.036657,0.047749,0.002547,0.004947,0.048040,0.129695,0.007008,0.000541,0.46,0.07,2.05,26;
51200,25088,0.066611,0.051516,0.002934,0.007186,0.052051,0.108690,0.009627,0.000434,0.46,0.12,0.57,102;
51200,25088,0.065552,0.051644,0.002988,0.007392,0.052024,0.094248,0.009993,0.000429,0.42,0.10,0.53,100;
51200,25088,0.069569,0.051505,0.002934,0.007294,0.051967,0.098647,0.010059,0.000436,0.44,0.09,0.53,102;
51200,25088,0.074054,0.069131,0.003187,0.007332,0.069485,0.094614,0.010137,0.000522,0.48,0.12,0.57,105;
51200,25088,0.077445,0.052146,0.003026,0.007345,0.052635,0.132703,0.010273,0.000510,0.50,0.13,0.58,108;
51200,25088,0.032967,0.064886,0.002501,0.004965,0.065176,0.132221,0.007141,0.000567,0.49,0.06,0.54,102;
