verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
12500,2.326814,0.016131,0.002103,9.851764,3.121494,14.34,1.04,15.40,99;
12500,2.337766,0.015598,0.002089,9.426058,2.892886,13.70,1.04,14.76,99;
12500,2.390735,0.016488,0.002086,10.421118,3.175245,14.96,1.10,16.09,99;
12500,2.338450,0.015689,0.002095,9.404271,2.868250,13.65,1.04,14.71,99;
12500,2.342201,0.015815,0.002085,9.612047,3.128125,14.15,1.01,15.18,99;
12500,2.336312,0.015590,0.002104,9.464191,2.886351,13.84,0.92,14.78,99;
12500,2.384381,0.016531,0.002001,10.254563,3.168569,14.87,1.05,15.94,99;
12500,2.381438,0.016389,0.002087,10.298133,3.164514,14.76,1.16,15.95,99;
12500,2.361857,0.015924,0.002085,9.894358,3.165046,14.40,1.10,15.53,99;
12500,2.330956,0.015526,0.002102,9.731155,2.905591,13.93,1.12,15.07,99;
12500,2.326959,0.015942,0.002094,9.485340,3.040994,13.97,0.96,14.95,99;
12500,2.334155,0.016026,0.002071,9.391874,2.835380,13.62,1.02,14.66,99;
12500,2.377425,0.016625,0.002078,10.169747,3.177061,14.81,1.00,15.84,99;
12500,2.324420,0.016098,0.002120,9.281769,2.892195,13.56,1.02,14.60,99;
12500,2.385982,0.016789,0.002001,10.217627,3.172174,14.84,1.01,15.89,99;
12500,2.324322,0.016194,0.002080,9.544625,2.918324,13.81,1.06,14.89,99;
12500,2.409976,0.015863,0.001639,10.456282,3.179700,15.04,1.08,16.17,99;
12500,2.332479,0.016003,0.001891,9.912708,3.115363,14.37,1.07,15.46,99;
12500,2.322038,0.016814,0.002069,9.853311,3.131927,14.24,1.15,15.42,99;
12500,2.334026,0.015807,0.001725,9.736067,3.068432,14.14,1.08,15.24,99;
12500,2.332463,0.015477,0.002093,9.375339,2.831835,13.51,1.11,14.64,99;
12500,2.325847,0.015841,0.002086,9.165690,2.867728,13.43,1.01,14.46,99;
12500,2.341631,0.016069,0.002086,9.783439,3.109142,14.30,1.01,15.34,99;
12500,2.344412,0.016022,0.002347,9.889676,3.135864,14.37,1.11,15.50,99;
12500,2.388766,0.016024,0.002094,10.136955,3.171263,14.75,1.03,15.79,99;
