verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
0,0.062527,0.000460,0.000630,0.000825,0.000001,0.02,0.04,0.07,97;
0,0.058631,0.000450,0.000620,0.000823,0.000001,0.03,0.03,0.09,74;
0,0.061021,0.000447,0.000624,0.000826,0.000001,0.03,0.04,0.08,95;
0,0.058043,0.000375,0.000622,0.000823,0.000001,0.02,0.04,0.09,76;
0,0.059719,0.000373,0.000617,0.000808,0.000001,0.02,0.04,0.09,75;
0,0.059101,0.000438,0.000621,0.000848,0.000001,0.03,0.03,0.07,97;
0,0.062198,0.000455,0.000622,0.000822,0.000001,0.03,0.04,0.07,94;
0,0.060460,0.000454,0.000624,0.000806,0.000001,0.03,0.03,0.07,93;
0,0.059586,0.000375,0.000619,0.000842,0.000001,0.03,0.03,0.07,96;
0,0.061319,0.000373,0.000617,0.000808,0.000001,0.02,0.04,0.10,78;
0,0.058849,0.000371,0.000617,0.000807,0.000001,0.03,0.03,0.07,96;
0,0.061675,0.000374,0.000621,0.000824,0.000001,0.02,0.04,0.07,96;
0,0.057877,0.000376,0.000621,0.000813,0.000001,0.01,0.05,0.09,75;
0,0.058846,0.000378,0.000621,0.000825,0.000001,0.03,0.03,0.09,75;
0,0.060656,0.000450,0.000619,0.000826,0.000001,0.02,0.04,0.07,97;
0,0.060714,0.000447,0.000622,0.000825,0.000001,0.03,0.04,0.07,96;
0,0.061885,0.000394,0.000622,0.000823,0.000001,0.02,0.05,0.09,76;
0,0.060524,0.000375,0.000617,0.000823,0.000001,0.03,0.03,0.07,96;
0,0.060411,0.000451,0.000621,0.000821,0.000001,0.03,0.04,0.07,96;
0,0.058441,0.000465,0.000620,0.000805,0.000001,0.03,0.04,0.09,78;
0,0.061258,0.000455,0.000617,0.000823,0.000001,0.02,0.04,0.07,94;
0,0.057729,0.000492,0.000618,0.000807,0.000001,0.03,0.03,0.07,97;
0,0.058753,0.000447,0.000622,0.000823,0.000001,0.03,0.03,0.07,96;
0,0.060796,0.000445,0.000626,0.000824,0.000001,0.03,0.04,0.07,96;
0,0.059002,0.000451,0.000619,0.000824,0.000001,0.03,0.03,0.09,77;
