verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
118498,0.045686,0.000269,1.693215,0.044255,0.042981,1.78,0.06,1.85,98;
118498,0.046265,0.000290,1.698598,0.044981,0.043282,1.78,0.06,1.87,98;
118498,0.048022,0.000292,1.694004,0.044922,0.042774,1.79,0.04,1.86,98;
118498,0.046523,0.000278,1.695395,0.044217,0.042739,1.77,0.06,1.86,98;
118498,0.048627,0.000289,1.696555,0.044557,0.042580,1.78,0.06,1.86,98;
118498,0.046409,0.000291,1.916500,0.047101,0.044419,2.00,0.06,2.10,98;
118498,0.050659,0.000285,1.876178,0.045153,0.042830,1.97,0.05,2.05,98;
118498,0.043582,0.000283,1.835203,0.044966,0.042688,1.93,0.04,2.00,99;
118498,0.049243,0.000275,1.756509,0.042798,0.041266,1.84,0.05,1.92,99;
118498,0.045586,0.000282,1.721863,0.044614,0.042535,1.81,0.05,1.88,98;
118498,0.046587,0.000299,1.722751,0.047898,0.043739,1.83,0.03,1.90,98;
118498,0.042842,0.000299,1.689714,0.042896,0.042033,1.77,0.05,1.85,98;
118498,0.047104,0.000300,1.686460,0.048144,0.044821,1.78,0.05,1.86,98;
118498,0.046272,0.000294,1.686647,0.046455,0.043858,1.79,0.04,1.86,98;
118498,0.046075,0.000299,1.688509,0.049511,0.046014,1.78,0.05,1.87,98;
118498,0.046738,0.000302,1.683055,0.047469,0.045572,1.77,0.06,1.86,98;
118498,0.046879,0.000302,1.679309,0.047737,0.044719,1.78,0.04,1.85,98;
118498,0.045188,0.000298,1.683482,0.047694,0.043722,1.79,0.04,1.85,98;
118498,0.044175,0.000291,1.690198,0.044592,0.043423,1.78,0.05,1.86,98;
118498,0.047151,0.000295,1.692699,0.047835,0.044155,1.78,0.06,1.87,98;
118498,0.046112,0.000306,1.682232,0.047379,0.044686,1.79,0.04,1.85,98;
118498,0.045028,0.000285,1.681757,0.048051,0.044935,1.78,0.04,1.85,98;
118498,0.044480,0.000307,1.683192,0.046263,0.043333,1.78,0.04,1.85,98;
118498,0.045075,0.000280,1.685656,0.049460,0.046939,1.79,0.05,1.86,98;
118498,0.046369,0.000300,1.681303,0.049776,0.046606,1.79,0.04,1.86,98;
