verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
25088,0.035610,0.000414,0.139529,0.007185,0.006469,0.14,0.05,0.20,98;
25088,0.039253,0.000361,0.139275,0.007390,0.006671,0.15,0.04,0.22,91;
25088,0.034580,0.000360,0.139115,0.007182,0.006458,0.15,0.04,0.22,90;
25088,0.035656,0.000270,0.139383,0.007132,0.006507,0.16,0.04,0.20,98;
25088,0.040292,0.000382,0.139435,0.007108,0.006572,0.15,0.05,0.23,90;
25088,0.034896,0.000267,0.139561,0.007242,0.006521,0.16,0.03,0.20,99;
25088,0.039311,0.000392,0.139475,0.007514,0.007039,0.16,0.03,0.22,91;
25088,0.035264,0.000355,0.139468,0.007164,0.006631,0.16,0.04,0.20,99;
25088,0.039028,0.000376,0.139177,0.007764,0.007383,0.16,0.04,0.23,88;
25088,0.035677,0.000278,0.139490,0.007192,0.006602,0.15,0.04,0.22,89;
25088,0.037838,0.000283,0.139337,0.007538,0.007200,0.16,0.03,0.20,98;
25088,0.036039,0.000394,0.139346,0.007253,0.006465,0.16,0.03,0.22,90;
25088,0.035599,0.000267,0.139486,0.007160,0.006727,0.16,0.04,0.22,91;
25088,0.036532,0.000274,0.139337,0.007193,0.006624,0.15,0.04,0.22,89;
25088,0.035094,0.000291,0.139450,0.007793,0.007186,0.16,0.03,0.22,89;
25088,0.035673,0.000379,0.139526,0.007159,0.006596,0.15,0.04,0.20,99;
25088,0.036078,0.000266,0.139226,0.007199,0.006489,0.15,0.04,0.20,99;
25088,0.040963,0.000347,0.139318,0.007134,0.006428,0.15,0.05,0.20,98;
25088,0.035351,0.000263,0.139171,0.007145,0.006583,0.15,0.04,0.22,91;
25088,0.039838,0.000313,0.139442,0.007183,0.006617,0.15,0.04,0.20,98;
25088,0.035822,0.000278,0.139404,0.007112,0.006503,0.15,0.04,0.22,90;
25088,0.035254,0.000277,0.139433,0.007536,0.007063,0.15,0.04,0.20,99;
25088,0.039199,0.000409,0.139092,0.007877,0.007463,0.15,0.04,0.22,90;
25088,0.034414,0.000288,0.139279,0.007710,0.007559,0.16,0.03,0.20,98;
25088,0.038675,0.000378,0.139236,0.007712,0.007312,0.15,0.04,0.20,98;
