verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
12500,2.353419,0.016026,0.002107,9.933825,3.170827,14.41,1.16,15.60,99;
12500,2.335542,0.015970,0.002062,9.417226,2.820351,13.66,0.99,14.67,99;
12500,2.334857,0.016285,0.002093,9.957748,3.184968,14.57,1.02,15.63,99;
12500,2.339200,0.016012,0.002021,9.723783,3.089524,14.22,1.01,15.25,99;
12500,2.333358,0.015720,0.002082,9.933555,3.105038,14.35,1.10,15.47,99;
12500,2.334924,0.015686,0.002081,9.403551,2.872255,13.62,1.10,14.74,99;
12500,2.387535,0.016307,0.002083,10.202573,3.180404,14.82,1.03,15.88,99;
12500,2.387746,0.016788,0.002083,10.065351,3.200313,14.61,1.12,15.76,99;
12500,2.662996,0.015956,0.002090,9.299244,2.819362,13.80,1.06,14.88,99;
12500,2.333508,0.016305,0.002082,9.417487,2.828853,13.68,0.98,14.68,99;
12500,2.336516,0.016102,0.002095,9.769349,3.123007,14.16,1.15,15.33,99;
12500,2.342127,0.015963,0.002131,9.338279,2.882433,13.60,1.04,14.66,99;
12500,2.324666,0.015714,0.002079,9.450828,2.947159,13.75,1.05,14.82,99;
12500,2.327972,0.016347,0.002096,9.291937,2.937758,13.67,0.97,14.66,99;
12500,2.400505,0.016501,0.002083,10.406989,3.178156,15.05,1.02,16.09,99;
12500,2.377169,0.016706,0.002081,10.158085,3.177618,14.66,1.16,15.85,99;
12500,2.337213,0.016370,0.002104,9.603782,3.046707,14.03,1.04,15.09,99;
12500,2.357197,0.016454,0.002084,9.876655,3.168960,14.52,0.96,15.50,99;
12500,2.334600,0.015794,0.002098,9.459432,3.034406,13.87,1.04,14.93,99;
12500,2.345404,0.016280,0.002085,9.180658,2.826421,13.40,1.04,14.45,99;
12500,2.351823,0.016463,0.002131,9.827187,3.176080,14.25,1.19,15.46,99;
12500,2.349293,0.016466,0.002075,10.070339,3.168303,14.64,1.03,15.69,99;
12500,2.325408,0.016015,0.002083,9.365224,2.830387,13.63,1.00,14.65,99;
12500,2.343328,0.016207,0.002100,10.078318,3.181013,14.64,1.04,15.70,99;
12500,2.331763,0.016255,0.002083,9.602269,3.090766,13.99,1.12,15.12,99;
