verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
0,0.059745,0.000509,0.000619,0.000830,0.000001,0.02,0.04,0.07,96;
0,0.065042,0.000374,0.000619,0.000810,0.000000,0.03,0.04,0.10,75;
0,0.058306,0.000361,0.000620,0.000821,0.000001,0.03,0.03,0.09,72;
0,0.059578,0.000351,0.000621,0.000828,0.000001,0.03,0.04,0.09,77;
0,0.060751,0.000484,0.000622,0.000824,0.000001,0.02,0.04,0.07,96;
0,0.060086,0.000441,0.000620,0.000823,0.000001,0.03,0.03,0.07,97;
0,0.058841,0.000391,0.000623,0.000852,0.000001,0.03,0.04,0.07,96;
0,0.059028,0.000455,0.000623,0.000824,0.000001,0.03,0.04,0.07,96;
0,0.062077,0.000452,0.000623,0.000825,0.000001,0.02,0.04,0.10,74;
0,0.058651,0.000378,0.000622,0.000823,0.000001,0.03,0.03,0.09,73;
0,0.066313,0.000454,0.000621,0.000867,0.000001,0.03,0.04,0.08,95;
0,0.060802,0.000456,0.000621,0.000839,0.000001,0.04,0.03,0.07,97;
0,0.061342,0.000382,0.000620,0.000833,0.000001,0.03,0.03,0.07,97;
0,0.058745,0.000458,0.000623,0.000826,0.000001,0.02,0.04,0.07,96;
0,0.058747,0.000532,0.000621,0.000823,0.000001,0.02,0.04,0.09,75;
0,0.059642,0.000446,0.000631,0.000824,0.000001,0.03,0.04,0.07,96;
0,0.058551,0.000446,0.000621,0.000825,0.000001,0.02,0.05,0.07,97;
0,0.068301,0.000374,0.000619,0.000826,0.000001,0.02,0.05,0.08,96;
0,0.060802,0.000448,0.000623,0.001026,0.000000,0.02,0.04,0.07,97;
0,0.059044,0.000449,0.000620,0.000825,0.000001,0.02,0.04,0.09,75;
0,0.063674,0.000457,0.000621,0.000822,0.000001,0.02,0.05,0.07,97;
0,0.058477,0.000463,0.000620,0.000916,0.000000,0.03,0.03,0.07,95;
0,0.062528,0.000442,0.000622,0.000822,0.000001,0.03,0.04,0.07,96;
0,0.058579,0.000376,0.000622,0.000827,0.000001,0.03,0.04,0.09,78;
0,0.065042,0.000450,0.000620,0.000823,0.000001,0.02,0.05,0.08,97;
