verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
118498,0.048663,0.000299,2.169676,0.042662,0.041886,2.26,0.05,2.33,99;
118498,0.050406,0.000332,2.188087,0.043975,0.042672,2.28,0.05,2.36,99;
118498,0.044177,0.000310,2.182356,0.047657,0.045188,2.29,0.04,2.35,99;
118498,0.049310,0.000305,2.182731,0.047221,0.043985,2.28,0.05,2.36,98;
118498,0.051122,0.000279,2.188981,0.042817,0.041334,2.28,0.05,2.35,99;
118498,0.043993,0.000884,2.287426,0.048336,0.044110,2.38,0.05,2.47,98;
118498,0.048471,0.000276,2.487874,0.044144,0.042935,2.58,0.05,2.65,99;
118498,0.044957,0.000288,2.404187,0.045377,0.043117,2.49,0.05,2.57,99;
118498,0.043407,0.000307,2.301747,0.048357,0.044462,2.40,0.05,2.47,99;
118498,0.045017,0.000354,2.230964,0.044887,0.042232,2.32,0.05,2.40,98;
118498,0.043742,0.000293,2.181492,0.044770,0.043320,2.27,0.05,2.34,99;
118498,0.043670,0.000276,2.174040,0.055863,0.049066,2.28,0.05,2.36,98;
118498,0.048134,0.000301,2.149526,0.051742,0.047627,2.25,0.06,2.34,98;
118498,0.050134,0.000301,2.158505,0.053738,0.051590,2.27,0.05,2.35,98;
118498,0.055893,0.000298,2.112648,0.059948,0.053738,2.23,0.06,2.33,98;
118498,0.052359,0.000322,2.125565,0.054090,0.051044,2.23,0.06,2.31,99;
118498,0.049363,0.000296,2.140779,0.051766,0.048085,2.25,0.05,2.32,99;
118498,0.056452,0.000276,2.143853,0.054377,0.051721,2.27,0.05,2.34,99;
118498,0.051427,0.000285,2.139564,0.051149,0.048125,2.25,0.06,2.34,98;
118498,0.047924,0.000282,2.150499,0.051436,0.048636,2.26,0.05,2.34,98;
118498,0.053420,0.000277,2.153464,0.051313,0.048657,2.25,0.06,2.34,98;
118498,0.048663,0.000283,2.146389,0.053031,0.048279,2.25,0.06,2.33,99;
118498,0.047918,0.000367,2.135988,0.051636,0.048796,2.24,0.05,2.32,99;
118498,0.048925,0.000280,2.141259,0.051784,0.048973,2.26,0.04,2.34,98;
118498,0.049242,0.000277,2.146989,0.051373,0.047514,2.25,0.05,2.32,99;
