Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
12500,20.406999,44.885514,0.946819,34.986691,129.01,1.84,67.51,193;
12500,9.944740,21.633598,0.627862,12.229347,61.75,1.56,34.01,186;
12500,10.554011,22.518863,0.665268,12.714975,64.46,1.85,35.24,188;
12500,10.588751,23.175066,0.672240,13.557350,66.02,1.68,36.22,186;
12500,9.904834,29.358070,0.626257,12.106685,76.88,1.91,41.51,189;
12500,9.877627,29.503348,0.623514,12.051864,77.17,1.79,41.82,188;
12500,10.240322,30.152269,0.634248,12.668770,79.09,1.89,42.57,190;
12500,20.426739,51.854303,0.945014,33.960201,142.74,2.05,74.48,194;
12500,9.863448,29.779531,0.622731,12.207783,77.63,1.85,42.10,188;
12500,10.075316,26.949286,0.644654,13.092715,72.62,1.61,39.19,189;
12500,10.151023,22.423167,0.666301,12.506801,63.60,1.72,35.02,186;
12500,9.897827,29.578723,0.624858,12.344682,77.43,1.72,41.66,189;
12500,20.667078,45.042425,0.968381,35.055556,129.58,2.02,68.15,193;
12500,9.581492,29.324773,0.604321,12.019569,76.31,1.69,41.09,189;
12500,9.607083,29.464094,0.606254,12.065398,76.62,1.71,41.54,188;
12500,20.886246,44.739542,0.934534,35.014449,129.53,1.91,67.82,193;
12500,9.870908,29.563452,0.624070,12.326451,77.25,1.82,41.91,188;
12500,20.711382,44.497416,0.971952,34.693678,128.63,1.98,67.41,193;
12500,20.273276,45.022375,1.029301,35.223080,128.82,2.03,67.78,193;
12500,10.248707,26.249718,0.651047,12.606283,71.25,1.92,38.66,189;
12500,20.089020,44.396444,0.913340,34.423050,127.11,2.04,66.94,192;
12500,20.181320,45.174570,0.953071,35.270471,129.00,1.90,67.54,193;
12500,20.368754,44.700033,0.970323,35.217742,128.32,1.97,67.53,192;
12500,20.363649,44.326352,0.981907,34.390410,127.54,2.03,66.88,193;
12500,9.967688,21.722085,0.625347,12.290023,61.91,1.64,34.14,186;
