Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
12500,10.819670,24.565360,0.945136,12.801693,80.49,26.95,39.08,274;
12500,10.413410,25.156024,0.903566,12.756949,81.18,26.74,38.70,278;
12500,10.706249,24.261409,0.907372,12.973289,78.49,27.03,37.46,281;
12500,10.259949,24.184080,0.905263,12.648845,79.24,24.45,37.06,279;
12500,10.043757,24.938797,0.863225,12.445888,78.07,28.01,37.67,281;
12500,10.477499,24.352632,0.914245,12.999705,78.00,26.88,37.26,281;
12500,21.906865,46.663634,1.336900,34.480042,155.19,51.35,71.46,289;
12500,21.908503,46.454323,1.393048,34.557827,151.77,54.03,71.05,289;
12500,10.492689,24.129296,0.905961,12.729708,75.05,29.43,37.47,278;
12500,21.269855,45.404433,1.372734,33.568831,149.61,50.98,69.21,289;
12500,10.880624,23.829830,0.945092,12.290717,74.47,30.49,37.88,277;
12500,10.439746,26.472939,0.908003,15.150878,80.13,31.08,39.52,281;
12500,11.069123,24.690621,0.943357,12.968379,77.58,30.54,38.57,280;
12500,22.205289,46.520086,1.362275,34.764215,152.81,53.98,71.19,290;
12500,10.003318,23.348584,0.875181,12.056734,73.56,27.06,35.83,280;
12500,10.462294,24.394412,0.905782,12.956256,76.18,28.91,37.69,278;
12500,10.400266,40.714371,0.907835,12.665577,106.83,47.07,55.03,279;
12500,10.394172,24.287414,0.901336,12.980582,74.99,29.65,37.41,279;
12500,21.935061,46.291436,1.309040,34.222583,151.97,53.96,71.17,289;
12500,21.003353,45.355093,1.269351,33.631597,147.98,51.73,69.40,287;
12500,10.397703,24.102314,0.906482,12.576575,74.79,29.70,37.26,280;
12500,21.078461,47.337183,1.214605,34.230451,152.41,54.05,71.67,288;
12500,15.830631,30.251213,1.408303,18.379786,100.78,38.09,48.73,284;
12500,10.760653,24.739628,0.941004,12.698440,76.45,31.12,38.49,279;
12500,21.658597,47.719090,1.347379,34.737863,154.73,54.80,72.29,289;
