Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
1000000,0.082979,4.028014,0.130428,0.000000,7.94,0.36,4.42,188;
1000000,0.082962,4.032126,0.130686,0.000000,7.91,0.40,4.43,187;
1000000,0.083404,2.894583,0.134600,0.000000,5.69,0.35,5.74,105;
1000000,0.084380,4.028203,0.129591,0.000000,7.90,0.42,4.44,187;
1000000,0.082744,4.039635,0.131019,0.000000,7.94,0.39,4.43,187;
1000000,0.118103,2.800087,0.164292,0.000000,5.62,0.29,3.22,184;
1000000,0.116531,2.802157,0.168665,0.000000,5.60,0.31,3.26,181;
1000000,0.083163,2.807447,0.129513,0.000000,5.57,0.29,4.71,124;
1000000,0.118172,2.800152,0.164167,0.000000,5.60,0.32,3.22,183;
1000000,0.116910,4.098239,0.174493,0.000000,8.20,0.33,4.54,188;
1000000,0.087761,4.026943,0.130158,0.000000,7.92,0.40,4.43,187;
1000000,0.119319,4.118164,0.173149,0.000000,8.29,0.28,4.59,186;
1000000,0.083425,4.044499,0.131250,0.000000,8.03,0.32,6.26,133;
1000000,0.086206,4.039879,0.130863,0.000000,7.96,0.38,4.43,188;
1000000,0.116040,2.744774,0.159403,0.000000,5.47,0.34,3.16,183;
1000000,0.083748,4.059213,0.130987,0.000000,8.05,0.33,4.46,187;
1000000,0.120394,2.786814,0.161653,0.000000,5.61,0.28,3.26,180;
1000000,0.084488,2.855250,0.140560,0.000000,5.64,0.31,4.78,124;
1000000,0.119095,2.784784,0.176302,0.000000,5.55,0.33,3.21,183;
1000000,0.116171,2.775371,0.162183,0.000000,5.54,0.33,3.20,183;
1000000,0.085738,4.057645,0.130175,0.000000,8.01,0.37,4.46,187;
1000000,0.086362,2.824857,0.130309,0.000000,5.57,0.33,5.88,100;
1000000,0.084993,2.768317,0.129034,0.000000,5.50,0.28,4.67,123;
1000000,0.120154,2.780537,0.164411,0.000000,5.56,0.33,3.21,183;
1000000,0.083238,4.044461,0.130959,0.000000,7.98,0.37,4.45,187;
