Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
250000,0.236515,3.381732,0.149047,0.000277,5.65,1.71,6.06,121;
250000,0.157192,4.083157,0.115012,0.000242,47.25,24.31,36.47,196;
250000,0.156611,3.758267,0.118074,0.000246,6.10,1.84,6.16,128;
250000,0.152621,4.169169,0.113538,0.000253,6.79,1.97,5.03,174;
250000,0.155388,4.461800,0.115022,0.000242,7.03,2.32,5.54,168;
250000,0.154386,3.933684,0.115206,0.000236,6.36,1.93,4.83,171;
250000,0.155034,3.850616,0.115179,0.000239,6.40,1.74,6.26,129;
250000,0.228923,3.571799,0.147092,0.000274,5.85,1.87,4.73,163;
250000,0.228793,3.159665,0.148918,0.000280,5.32,1.57,4.31,159;
250000,0.228557,3.963031,0.147348,0.000280,6.31,2.18,4.93,172;
250000,0.225876,3.389797,0.149234,0.000279,5.42,1.93,6.06,121;
250000,0.226819,3.572121,0.149996,0.000282,5.90,1.81,4.52,170;
250000,0.153706,4.044702,0.114676,0.000238,6.43,2.07,4.93,172;
250000,0.154384,3.929589,0.117421,0.000242,6.51,1.77,4.83,171;
250000,0.230056,3.616286,0.147662,0.000292,5.92,1.89,6.06,128;
250000,0.230614,3.556729,0.146521,0.000278,5.67,2.01,4.52,170;
250000,0.156387,4.138871,0.116253,0.000239,6.52,2.19,5.03,173;
250000,0.230393,3.254642,0.147852,0.000281,5.45,1.64,4.42,160;
250000,0.154750,4.263401,0.115791,0.000237,6.87,2.08,6.57,136;
250000,0.158038,3.922936,0.115963,0.000239,6.25,2.02,4.83,171;
250000,0.155831,4.291912,0.116579,0.000240,6.91,2.10,5.34,168;
250000,0.153889,4.063829,0.114770,0.000238,6.56,2.00,7.59,112;
250000,0.155139,3.544911,0.117135,0.000235,5.61,1.88,4.41,169;
250000,0.156019,4.157071,0.115306,0.000239,6.66,2.08,5.13,170;
250000,0.155783,3.970917,0.114364,0.000232,7.91,2.82,7.39,145;
