Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
500000,0.392544,13.203063,0.289208,0.000365,26.88,0.40,15.42,176;
500000,0.385478,20.861489,0.288618,0.000382,42.09,0.50,23.13,184;
500000,0.581742,13.095634,0.376862,0.000431,26.98,0.47,16.10,170;
500000,0.575333,20.734871,0.381755,0.000472,42.22,0.50,21.64,197;
500000,0.388654,20.543534,0.288710,0.000427,41.48,0.48,23.09,181;
500000,0.572483,13.310872,0.373454,0.000426,27.49,0.38,16.01,173;
500000,0.383873,20.486893,0.286458,0.000399,41.31,0.50,21.19,197;
500000,0.389924,20.041269,0.290989,0.000394,40.46,0.49,22.56,181;
500000,0.385207,20.817012,0.289114,0.000385,42.09,0.40,23.36,181;
500000,0.417477,14.295872,0.295914,0.000395,29.10,0.42,17.13,172;
500000,0.574637,13.101370,0.375789,0.000429,26.98,0.46,13.99,196;
500000,0.391933,20.753502,0.292840,0.000382,41.89,0.50,23.29,182;
500000,0.589000,13.321306,0.374087,0.000432,27.48,0.43,16.04,174;
500000,0.383135,20.522927,0.287480,0.000384,41.43,0.47,21.23,197;
500000,0.581763,13.340682,0.379609,0.000439,27.55,0.40,16.08,173;
500000,0.402355,13.431514,0.291603,0.000371,27.36,0.39,14.17,195;
500000,0.579206,13.348388,0.376158,0.000430,27.51,0.44,16.07,173;
500000,0.581270,13.251070,0.377149,0.000427,27.34,0.43,14.15,196;
500000,0.571401,13.293969,0.376082,0.000428,27.39,0.44,16.00,173;
500000,0.395530,20.599795,0.291830,0.000397,41.60,0.49,21.31,197;
500000,0.389563,13.180328,0.294214,0.000384,26.80,0.43,15.70,173;
500000,0.582025,13.250234,0.372578,0.000437,27.35,0.41,14.15,196;
500000,0.572644,13.325705,0.378856,0.000422,27.51,0.38,16.03,174;
500000,0.571656,13.117292,0.377115,0.000426,27.04,0.44,14.03,195;
500000,0.565164,13.170552,0.376164,0.000428,27.14,0.42,15.87,173;
