Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
51200,0.011929,0.132806,0.008061,0.004909,0.33,0.03,2.27,16;
51200,0.011739,0.132055,0.008426,0.005150,0.31,0.04,0.43,82;
51200,0.011729,0.131345,0.007920,0.004913,0.29,0.06,0.42,83;
51200,0.017301,0.097215,0.010051,0.006420,0.25,0.03,0.39,75;
51200,0.016493,0.098523,0.009668,0.006388,0.23,0.06,0.40,73;
51200,0.016344,0.098242,0.009385,0.006379,0.23,0.06,0.40,75;
51200,0.017004,0.103615,0.010231,0.006642,0.27,0.04,0.40,76;
51200,0.016258,0.097558,0.009005,0.006476,0.26,0.03,0.41,73;
51200,0.017169,0.096296,0.009078,0.006474,0.25,0.04,0.40,73;
51200,0.012031,0.134201,0.008644,0.004830,0.31,0.05,0.43,83;
51200,0.017223,0.098199,0.009122,0.006558,0.27,0.02,0.39,75;
51200,0.012644,0.133053,0.008088,0.004834,0.30,0.05,0.43,83;
51200,0.017216,0.097073,0.009033,0.006473,0.23,0.06,0.40,74;
51200,0.011756,0.137568,0.008775,0.004960,0.31,0.04,0.42,86;
51200,0.011815,0.133718,0.008635,0.004993,0.29,0.06,0.43,82;
51200,0.016899,0.095408,0.009167,0.006508,0.25,0.04,0.40,73;
51200,0.012521,0.133474,0.008621,0.004882,0.33,0.02,0.42,84;
51200,0.017138,0.097655,0.008782,0.006626,0.27,0.03,0.40,74;
51200,0.016952,0.096929,0.008774,0.006670,0.25,0.04,0.39,75;
51200,0.017295,0.097604,0.008784,0.006436,0.22,0.07,0.40,74;
51200,0.017051,0.096649,0.008710,0.006537,0.22,0.07,0.40,73;
51200,0.016862,0.097371,0.008920,0.006521,0.26,0.03,0.40,74;
51200,0.011894,0.135621,0.008750,0.004982,0.30,0.05,0.42,85;
51200,0.016990,0.096946,0.008745,0.006482,0.24,0.05,0.39,75;
51200,0.011981,0.133810,0.008903,0.004852,0.29,0.06,0.43,82;
