Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
51200,0.017237,0.139787,0.009151,0.007368,0.31,0.10,0.79,53;
51200,0.017353,0.135996,0.008694,0.007226,0.26,0.14,0.71,58;
51200,0.017263,0.149750,0.008904,0.007347,0.28,0.16,0.72,60;
51200,0.017316,0.147956,0.008775,0.007419,0.31,0.12,0.81,54;
51200,0.017603,0.150974,0.009888,0.007466,0.28,0.16,0.71,63;
51200,0.017645,0.142375,0.008719,0.007205,0.29,0.13,0.80,53;
51200,0.011455,0.146882,0.007344,0.004999,0.30,0.12,0.69,61;
51200,0.012355,0.147917,0.007407,0.004936,0.30,0.12,0.72,59;
51200,0.016988,0.138402,0.009147,0.007280,0.30,0.11,0.70,58;
51200,0.017507,0.186814,0.009604,0.007644,0.38,0.13,0.81,63;
51200,0.017512,0.140314,0.008885,0.007377,0.31,0.11,0.82,51;
51200,0.011919,0.153878,0.007768,0.005164,0.29,0.14,0.72,61;
51200,0.012053,0.157396,0.007837,0.004842,0.28,0.17,0.71,63;
51200,0.011945,0.155203,0.007666,0.004875,0.29,0.14,0.90,48;
51200,0.011442,0.171315,0.007539,0.004926,0.31,0.16,0.83,56;
51200,0.011564,0.162072,0.008264,0.004986,0.30,0.15,3.05,14;
51200,0.012255,0.155522,0.007363,0.005179,0.27,0.18,1.02,44;
51200,0.011956,0.155501,0.007970,0.005093,0.26,0.17,0.81,54;
51200,0.017405,0.139684,0.009265,0.007498,0.27,0.15,0.71,60;
51200,0.012266,0.148935,0.007494,0.005004,0.30,0.13,0.81,53;
51200,0.012201,0.151913,0.007765,0.005066,0.29,0.14,0.71,61;
51200,0.017366,0.145271,0.010382,0.007279,0.26,0.16,0.71,60;
51200,0.011713,0.149829,0.007339,0.005079,0.29,0.13,0.71,60;
51200,0.016853,0.142581,0.009090,0.007235,0.29,0.13,0.71,59;
51200,0.011895,0.150322,0.007396,0.005124,0.28,0.14,0.71,60;
