vertices,init,destroy,tarjan,user,system,elapsed,pCPU
12500,9.285982,0.000186,2.787298,11.31,0.80,12.11,99;
12500,9.263269,0.000152,2.799189,11.31,0.79,12.10,99;
12500,9.343026,0.000193,3.028452,11.61,0.79,12.43,99;
12500,9.634741,0.000217,3.071704,11.88,0.87,12.75,99;
12500,9.258670,0.000181,2.866119,11.36,0.80,12.17,99;
12500,9.322738,0.000178,2.871172,11.36,0.87,12.24,99;
12500,9.299784,0.000158,2.864233,11.40,0.80,12.21,99;
12500,9.335399,0.000154,2.848059,11.46,0.75,12.23,99;
12500,9.240057,0.000191,2.840070,11.36,0.76,12.12,99;
12500,9.526912,0.000180,2.945427,11.65,0.85,12.51,99;
12500,9.222087,0.000176,2.814936,11.38,0.69,12.08,99;
12500,9.295220,0.000152,2.862710,11.41,0.78,12.20,99;
12500,9.192300,0.000155,2.799070,11.27,0.76,12.03,99;
12500,9.366269,0.000162,2.932042,11.58,0.76,12.34,99;
12500,9.436781,0.000186,3.006404,11.62,0.86,12.49,99;
12500,9.270711,0.000193,2.876405,11.35,0.83,12.19,99;
12500,9.411272,0.000219,2.872360,11.54,0.78,12.33,99;
12500,9.366059,0.000172,2.872962,11.54,0.73,12.28,99;
12500,9.248256,0.000159,2.846990,11.34,0.79,12.14,99;
12500,9.206946,0.000215,2.801897,11.30,0.75,12.05,99;
12500,9.291432,0.000181,2.931788,11.52,0.74,12.27,99;
12500,9.230340,0.000152,2.866382,11.33,0.80,12.14,99;
12500,9.538516,0.000160,3.063057,11.80,0.84,12.68,99;
12500,9.350898,0.000166,2.907078,11.48,0.81,12.30,99;
12500,9.770146,0.000160,3.060545,11.98,0.89,12.87,99;
12500,9.499205,0.000165,3.031690,11.78,0.79,12.57,99;
12500,9.440446,0.000162,2.935829,11.65,0.76,12.42,99;
12500,9.325123,0.000198,2.867187,11.43,0.79,12.23,99;
12500,9.268716,0.000188,2.863633,11.38,0.79,12.17,99;
12500,9.340024,0.000185,2.903894,11.50,0.78,12.29,99;
12500,9.562741,0.000183,2.898321,11.69,0.81,12.50,99;
12500,9.433678,0.000187,2.905600,11.53,0.84,12.38,99;
12500,9.410243,0.000182,2.912339,11.52,0.84,12.37,99;
12500,9.423111,0.000240,2.894826,11.52,0.84,12.36,99;
12500,9.168438,0.000155,2.855205,11.36,0.70,12.07,99;
12500,9.502900,0.000162,2.925362,11.70,0.77,12.47,99;
12500,9.234920,0.000230,2.861781,11.39,0.75,12.14,99;
12500,9.216005,0.000196,2.861578,11.32,0.79,12.12,99;
12500,9.201544,0.000174,2.861954,11.22,0.88,12.11,99;
12500,9.264545,0.000184,2.864332,11.32,0.84,12.17,99;
12500,9.514433,0.000185,2.950235,11.78,0.72,12.51,99;
12500,9.350254,0.000162,2.861200,11.40,0.85,12.25,99;
12500,9.606649,0.000181,2.999358,11.78,0.87,12.65,99;
12500,9.373633,0.000193,2.861811,11.45,0.82,12.28,99;
12500,9.201342,0.000209,2.806390,11.28,0.77,12.05,100;
12500,9.162583,0.000207,2.862273,11.25,0.81,12.07,99;
12500,9.254030,0.000188,2.830525,11.32,0.80,12.13,99;
12500,9.521780,0.000217,3.050754,11.85,0.76,12.62,99;
12500,9.244868,0.000170,2.886670,11.43,0.74,12.17,99;
12500,9.477630,0.000188,3.062122,11.68,0.89,12.59,99;
12500,9.413705,0.000185,2.911552,11.64,0.72,12.37,99;
12500,9.632822,0.000199,3.056753,11.90,0.82,12.73,99;
12500,9.558112,0.000189,3.029227,11.86,0.77,12.63,99;
12500,9.584116,0.000187,2.975133,11.81,0.78,12.60,99;
12500,9.300894,0.000179,2.836516,11.33,0.85,12.18,99;
12500,9.294971,0.000186,2.850713,11.43,0.75,12.19,99;
12500,9.328050,0.000179,2.852958,11.50,0.72,12.22,99;
12500,9.154503,0.000181,2.827794,11.26,0.76,12.03,99;
12500,9.309264,0.000177,2.846890,11.40,0.79,12.20,99;
12500,9.279816,0.000156,2.858081,11.31,0.87,12.18,99;
12500,9.363036,0.000239,2.886284,11.56,0.73,12.29,99;
12500,9.612344,0.000182,2.960891,11.85,0.76,12.62,99;
12500,9.319731,0.000194,2.873284,11.43,0.80,12.24,99;
12500,9.148885,0.000178,2.852338,11.24,0.79,12.04,99;
12500,9.191780,0.000166,2.799234,11.28,0.75,12.03,99;
12500,9.210270,0.000186,2.808529,11.31,0.75,12.06,99;
12500,9.338230,0.000165,3.012134,11.57,0.82,12.40,99;
