vertices,init,destroy,tarjan,user,system,elapsed,pCPU
1000000,0.074439,0.000625,0.131741,0.18,0.02,0.20,99;
1000000,0.075089,0.000652,0.129830,0.16,0.04,0.20,99;
1000000,0.074144,0.000663,0.131554,0.16,0.04,0.20,100;
1000000,0.075210,0.000655,0.136796,0.17,0.03,0.21,99;
1000000,0.076897,0.000668,0.137391,0.18,0.02,0.21,99;
1000000,0.073952,0.000636,0.131477,0.17,0.03,0.20,100;
1000000,0.074010,0.000674,0.133662,0.18,0.02,0.21,99;
1000000,0.074659,0.000694,0.134585,0.17,0.04,0.21,100;
1000000,0.075257,0.000621,0.131788,0.18,0.02,0.20,100;
1000000,0.074861,0.000702,0.137084,0.18,0.02,0.21,99;
1000000,0.074505,0.000634,0.131537,0.16,0.04,0.20,100;
1000000,0.075044,0.000637,0.132268,0.18,0.02,0.21,99;
1000000,0.075251,0.000682,0.136961,0.18,0.03,0.21,99;
1000000,0.074224,0.000648,0.134132,0.16,0.04,0.21,99;
1000000,0.074752,0.000667,0.132765,0.18,0.02,0.21,100;
1000000,0.073952,0.000629,0.130625,0.15,0.05,0.20,99;
1000000,0.075362,0.000642,0.131036,0.18,0.02,0.20,99;
1000000,0.074922,0.000635,0.132120,0.18,0.02,0.20,100;
1000000,0.074805,0.000704,0.136303,0.17,0.03,0.21,99;
1000000,0.074164,0.000646,0.131361,0.18,0.02,0.20,100;
1000000,0.075629,0.000661,0.136604,0.17,0.03,0.21,99;
1000000,0.074180,0.000662,0.134727,0.18,0.02,0.21,99;
1000000,0.074181,0.000668,0.130781,0.16,0.04,0.20,99;
1000000,0.074819,0.000629,0.132635,0.18,0.02,0.21,99;
1000000,0.075031,0.000632,0.132330,0.17,0.03,0.21,99;
1000000,0.074701,0.000697,0.136826,0.18,0.03,0.21,99;
1000000,0.074287,0.000673,0.132266,0.17,0.03,0.20,100;
1000000,0.075129,0.000618,0.132028,0.17,0.03,0.20,100;
1000000,0.075269,0.000678,0.136674,0.17,0.03,0.21,100;
1000000,0.074237,0.000688,0.134360,0.17,0.03,0.21,99;
1000000,0.074089,0.000633,0.130928,0.17,0.02,0.20,99;
1000000,0.074888,0.000624,0.132290,0.18,0.02,0.21,99;
1000000,0.074474,0.000721,0.133840,0.17,0.03,0.21,99;
1000000,0.075510,0.000666,0.135240,0.17,0.03,0.21,99;
1000000,0.075598,0.000667,0.133755,0.18,0.02,0.21,100;
1000000,0.073905,0.000630,0.130363,0.18,0.01,0.20,99;
1000000,0.074776,0.000672,0.134248,0.18,0.02,0.21,99;
1000000,0.075427,0.000655,0.135044,0.17,0.03,0.21,99;
1000000,0.075520,0.000668,0.135803,0.18,0.02,0.21,99;
1000000,0.076156,0.000648,0.135553,0.18,0.02,0.21,99;
1000000,0.075967,0.000652,0.135439,0.18,0.02,0.21,99;
1000000,0.075816,0.000674,0.134819,0.17,0.03,0.21,99;
1000000,0.074250,0.000636,0.129518,0.17,0.03,0.20,100;
1000000,0.074483,0.000714,0.134289,0.18,0.02,0.21,99;
1000000,0.075450,0.000755,0.135530,0.17,0.03,0.21,99;
1000000,0.075301,0.000674,0.133813,0.17,0.03,0.21,99;
1000000,0.074281,0.000637,0.131029,0.15,0.05,0.20,100;
1000000,0.075174,0.000634,0.130549,0.17,0.03,0.20,100;
1000000,0.074970,0.000679,0.136862,0.18,0.02,0.21,99;
1000000,0.073858,0.000655,0.129533,0.18,0.02,0.20,99;
1000000,0.074930,0.000636,0.130084,0.17,0.03,0.20,99;
1000000,0.074209,0.000624,0.133184,0.17,0.03,0.21,99;
1000000,0.074798,0.000645,0.133973,0.16,0.04,0.21,99;
1000000,0.075044,0.000676,0.137169,0.17,0.03,0.21,99;
1000000,0.074892,0.000686,0.134594,0.20,0.01,0.21,100;
1000000,0.073924,0.000624,0.130145,0.17,0.03,0.20,99;
1000000,0.074613,0.000663,0.134798,0.16,0.04,0.21,100;
1000000,0.073880,0.000672,0.134969,0.17,0.03,0.21,99;
1000000,0.073852,0.000663,0.129305,0.17,0.02,0.20,99;
1000000,0.074437,0.000624,0.130663,0.17,0.03,0.20,99;
1000000,0.074094,0.000629,0.129731,0.18,0.02,0.20,100;
1000000,0.074173,0.000649,0.130748,0.15,0.04,0.20,99;
1000000,0.073814,0.000633,0.130269,0.17,0.03,0.20,100;
1000000,0.074186,0.000629,0.131050,0.17,0.03,0.20,99;
1000000,0.073822,0.000650,0.132815,0.18,0.02,0.21,98;
1000000,0.073787,0.000626,0.129422,0.17,0.03,0.20,100;
1000000,0.073877,0.000631,0.130878,0.15,0.04,0.20,99;
1000000,0.074200,0.000693,0.133767,0.17,0.03,0.21,99;
1000000,0.075128,0.000652,0.135072,0.17,0.04,0.21,99;
1000000,0.075191,0.000657,0.134431,0.17,0.03,0.21,100;
1000000,0.075149,0.000656,0.134910,0.17,0.04,0.21,99;
1000000,0.074515,0.000644,0.134874,0.18,0.02,0.21,100;
1000000,0.076185,0.000667,0.136680,0.17,0.03,0.21,99;
1000000,0.075151,0.000644,0.134295,0.17,0.03,0.21,100;
1000000,0.073956,0.000667,0.129199,0.16,0.03,0.20,99;
1000000,0.073585,0.000672,0.133901,0.16,0.04,0.21,99;
1000000,0.075524,0.000664,0.135880,0.18,0.02,0.21,99;
1000000,0.075665,0.000681,0.134709,0.17,0.04,0.21,99;
1000000,0.076691,0.000658,0.135416,0.18,0.03,0.21,100;
1000000,0.074872,0.000676,0.133611,0.18,0.02,0.21,99;
1000000,0.074537,0.000668,0.135141,0.18,0.03,0.21,100;
1000000,0.076282,0.000686,0.136260,0.17,0.03,0.21,99;
1000000,0.074016,0.000641,0.129178,0.17,0.03,0.20,99;
1000000,0.074928,0.000714,0.136878,0.17,0.03,0.21,99;
1000000,0.073966,0.000641,0.130357,0.17,0.03,0.20,99;
1000000,0.074092,0.000626,0.130237,0.18,0.02,0.20,99;
1000000,0.074164,0.000658,0.131557,0.18,0.02,0.20,100;
1000000,0.074516,0.000623,0.130728,0.17,0.02,0.20,99;
1000000,0.074769,0.000721,0.133626,0.17,0.03,0.21,99;
1000000,0.075512,0.000655,0.135653,0.17,0.04,0.21,99;
1000000,0.075347,0.000651,0.135482,0.18,0.02,0.21,100;
1000000,0.075829,0.000707,0.136133,0.18,0.03,0.21,99;
1000000,0.073946,0.000631,0.130846,0.18,0.02,0.20,99;
1000000,0.073785,0.000637,0.131448,0.16,0.04,0.20,99;
1000000,0.074543,0.000638,0.131730,0.16,0.04,0.20,99;
1000000,0.074114,0.000641,0.130811,0.16,0.04,0.20,99;
1000000,0.074687,0.000636,0.131071,0.17,0.03,0.20,100;
1000000,0.074036,0.000626,0.130527,0.17,0.03,0.20,99;
1000000,0.074223,0.000670,0.134537,0.17,0.03,0.21,99;
1000000,0.074305,0.000644,0.130097,0.17,0.03,0.20,99;
