vertices,init,destroy,tarjan,user,system,elapsed,pCPU
500000,0.375263,0.000337,0.142622,0.48,0.03,0.52,99;
500000,0.376466,0.000410,0.142785,0.47,0.04,0.52,99;
500000,0.377553,0.000335,0.142073,0.49,0.02,0.52,99;
500000,0.374875,0.000355,0.144680,0.49,0.02,0.52,99;
500000,0.375128,0.000345,0.142009,0.47,0.03,0.52,99;
500000,0.376875,0.000345,0.143568,0.49,0.02,0.52,99;
500000,0.373402,0.000351,0.143282,0.48,0.03,0.51,100;
500000,0.373437,0.000350,0.141673,0.48,0.02,0.51,99;
500000,0.376519,0.000344,0.143437,0.49,0.03,0.52,100;
500000,0.377952,0.000339,0.143173,0.50,0.01,0.52,99;
500000,0.376017,0.000348,0.143823,0.48,0.03,0.52,99;
500000,0.374019,0.000329,0.146146,0.51,0.01,0.52,99;
500000,0.381137,0.000331,0.147638,0.49,0.04,0.53,100;
500000,0.381981,0.000361,0.147448,0.49,0.03,0.53,99;
500000,0.374853,0.000371,0.142855,0.49,0.02,0.52,100;
500000,0.373167,0.000342,0.141421,0.48,0.02,0.51,99;
500000,0.373977,0.000329,0.141923,0.49,0.02,0.51,100;
500000,0.377319,0.000322,0.142402,0.49,0.02,0.52,99;
500000,0.376349,0.000343,0.142017,0.48,0.03,0.52,100;
500000,0.373669,0.000347,0.144392,0.48,0.03,0.52,100;
500000,0.376686,0.000334,0.142796,0.51,0.01,0.52,99;
500000,0.373906,0.000334,0.142018,0.50,0.01,0.51,100;
500000,0.372443,0.000330,0.142921,0.48,0.03,0.51,99;
500000,0.376442,0.000338,0.142315,0.48,0.03,0.52,100;
500000,0.379130,0.000338,0.143738,0.48,0.03,0.52,100;
500000,0.375526,0.000337,0.142208,0.47,0.04,0.52,100;
500000,0.374368,0.000334,0.142950,0.48,0.03,0.52,100;
500000,0.374627,0.000332,0.143190,0.49,0.02,0.52,100;
500000,0.374257,0.000331,0.142349,0.48,0.03,0.51,99;
500000,0.374009,0.000366,0.144350,0.47,0.04,0.52,100;
500000,0.374619,0.000337,0.140622,0.48,0.02,0.51,99;
500000,0.379851,0.000416,0.144747,0.50,0.02,0.53,99;
500000,0.380341,0.000335,0.143594,0.48,0.03,0.52,99;
500000,0.374212,0.000369,0.143077,0.48,0.03,0.52,100;
500000,0.376714,0.000375,0.142520,0.49,0.02,0.52,99;
500000,0.380238,0.000354,0.143979,0.49,0.03,0.52,99;
500000,0.378340,0.000338,0.143674,0.50,0.02,0.52,100;
500000,0.380808,0.000345,0.146289,0.50,0.02,0.53,99;
500000,0.374785,0.000341,0.143293,0.49,0.02,0.52,100;
500000,0.374368,0.000392,0.142192,0.48,0.03,0.51,99;
500000,0.375600,0.000341,0.143048,0.49,0.02,0.52,100;
500000,0.377015,0.000339,0.142148,0.50,0.01,0.52,99;
500000,0.380415,0.000344,0.144061,0.49,0.03,0.52,99;
500000,0.378453,0.000350,0.142218,0.49,0.02,0.52,99;
500000,0.381384,0.000351,0.143659,0.49,0.02,0.52,99;
500000,0.377519,0.000333,0.143383,0.49,0.02,0.52,99;
500000,0.374126,0.000365,0.153297,0.51,0.02,0.53,100;
500000,0.373743,0.000322,0.142813,0.49,0.02,0.51,99;
500000,0.381444,0.000338,0.147399,0.49,0.03,0.53,99;
500000,0.376154,0.000343,0.143224,0.48,0.03,0.52,99;
500000,0.378393,0.000346,0.144229,0.47,0.05,0.52,100;
500000,0.375818,0.000335,0.142199,0.49,0.02,0.52,100;
500000,0.377531,0.000332,0.143049,0.49,0.02,0.52,99;
500000,0.373198,0.000334,0.143310,0.49,0.01,0.51,99;
500000,0.374300,0.000353,0.143298,0.49,0.02,0.52,100;
500000,0.377765,0.000365,0.141663,0.48,0.03,0.52,99;
500000,0.374446,0.000343,0.141897,0.50,0.01,0.51,99;
500000,0.375518,0.000334,0.142342,0.50,0.02,0.52,100;
500000,0.374875,0.000336,0.142871,0.48,0.03,0.52,100;
500000,0.379625,0.000334,0.142513,0.51,0.01,0.52,99;
500000,0.374160,0.000369,0.143317,0.49,0.02,0.52,100;
500000,0.374462,0.000340,0.143370,0.49,0.02,0.52,100;
500000,0.380420,0.000325,0.143138,0.49,0.03,0.52,100;
500000,0.374089,0.000342,0.141745,0.47,0.04,0.51,99;
500000,0.377440,0.000339,0.142316,0.50,0.01,0.52,100;
500000,0.376824,0.000334,0.141800,0.48,0.03,0.52,100;
500000,0.381011,0.000344,0.143459,0.47,0.05,0.52,99;
500000,0.378183,0.000333,0.146297,0.47,0.04,0.52,99;
500000,0.376845,0.000329,0.142819,0.50,0.02,0.52,100;
500000,0.382168,0.000333,0.145303,0.49,0.03,0.53,99;
500000,0.376174,0.000343,0.142872,0.48,0.03,0.52,99;
500000,0.380695,0.000343,0.143297,0.49,0.03,0.52,99;
500000,0.375839,0.000336,0.142604,0.49,0.02,0.52,100;
500000,0.378566,0.000344,0.149244,0.49,0.03,0.53,99;
500000,0.375231,0.000341,0.142356,0.49,0.02,0.52,99;
500000,0.382512,0.000345,0.145796,0.50,0.02,0.53,100;
500000,0.379230,0.000332,0.142739,0.48,0.04,0.52,100;
500000,0.381445,0.000339,0.146549,0.50,0.02,0.53,99;
500000,0.377161,0.000372,0.144949,0.48,0.04,0.52,99;
500000,0.374303,0.000340,0.141044,0.49,0.02,0.51,99;
500000,0.376257,0.000342,0.141823,0.50,0.02,0.52,100;
500000,0.382999,0.000343,0.143284,0.49,0.03,0.52,99;
500000,0.375177,0.000332,0.145262,0.51,0.01,0.52,100;
500000,0.376925,0.000371,0.143130,0.48,0.03,0.52,99;
500000,0.380299,0.000407,0.146187,0.50,0.02,0.52,100;
500000,0.376107,0.000352,0.144602,0.49,0.02,0.52,99;
500000,0.373474,0.000353,0.148683,0.49,0.02,0.52,99;
500000,0.386242,0.000336,0.145942,0.51,0.01,0.53,99;
500000,0.373910,0.000328,0.142929,0.49,0.01,0.51,99;
500000,0.375447,0.000339,0.141352,0.50,0.01,0.51,100;
500000,0.381807,0.000345,0.142808,0.49,0.03,0.52,99;
500000,0.374261,0.000345,0.142212,0.47,0.03,0.51,99;
500000,0.378898,0.000328,0.142458,0.47,0.04,0.52,100;
500000,0.380318,0.000364,0.144508,0.49,0.03,0.52,99;
500000,0.380001,0.000342,0.145925,0.48,0.04,0.52,100;
500000,0.374112,0.000349,0.143220,0.49,0.02,0.52,100;
500000,0.372940,0.000340,0.141574,0.48,0.03,0.51,100;
500000,0.374705,0.000340,0.141650,0.48,0.03,0.51,99;
500000,0.377497,0.000341,0.144230,0.50,0.02,0.52,99;
500000,0.373169,0.000349,0.141261,0.48,0.03,0.51,99;
