vertices,init,destroy,tarjan,user,system,elapsed,pCPU
51200,0.010732,0.000196,0.010090,0.01,0.00,0.02,100;
51200,0.010585,0.000204,0.009963,0.01,0.00,0.02,100;
51200,0.010436,0.000318,0.009948,0.01,0.00,0.02,100;
51200,0.010684,0.000258,0.010053,0.02,0.00,0.02,100;
51200,0.010463,0.000175,0.009988,0.02,0.00,0.02,100;
51200,0.010509,0.000253,0.010073,0.02,0.00,0.02,100;
51200,0.010537,0.000299,0.009997,0.01,0.00,0.02,100;
51200,0.010426,0.000182,0.009970,0.01,0.00,0.02,95;
51200,0.010531,0.000225,0.009778,0.01,0.00,0.02,95;
51200,0.010521,0.000182,0.010100,0.01,0.00,0.02,100;
51200,0.010348,0.000176,0.009777,0.02,0.00,0.02,95;
51200,0.010570,0.000191,0.010395,0.02,0.00,0.02,100;
51200,0.010241,0.000296,0.009916,0.02,0.00,0.02,100;
51200,0.010516,0.000179,0.010159,0.01,0.00,0.02,100;
51200,0.010422,0.000197,0.009790,0.01,0.00,0.02,95;
51200,0.010404,0.000183,0.010296,0.01,0.00,0.02,100;
51200,0.010310,0.000280,0.009805,0.02,0.00,0.02,100;
51200,0.010571,0.000266,0.010207,0.01,0.00,0.02,100;
51200,0.010447,0.000181,0.009860,0.01,0.00,0.02,95;
51200,0.010364,0.000177,0.009935,0.01,0.00,0.02,100;
51200,0.010488,0.000197,0.010156,0.02,0.00,0.02,100;
51200,0.010266,0.000266,0.010238,0.01,0.00,0.02,95;
51200,0.011369,0.000181,0.010103,0.02,0.00,0.02,100;
51200,0.010341,0.000180,0.010073,0.01,0.00,0.02,100;
51200,0.010624,0.000289,0.009985,0.01,0.00,0.02,100;
51200,0.010394,0.000206,0.009976,0.01,0.00,0.02,95;
51200,0.010575,0.000187,0.009970,0.01,0.00,0.02,100;
51200,0.010501,0.000299,0.010039,0.02,0.00,0.02,100;
51200,0.010533,0.000264,0.009983,0.01,0.00,0.02,95;
51200,0.010584,0.000181,0.010056,0.01,0.00,0.02,100;
51200,0.010630,0.000199,0.010007,0.02,0.00,0.02,100;
51200,0.010563,0.000190,0.010129,0.02,0.00,0.02,100;
51200,0.010545,0.000182,0.010082,0.01,0.00,0.02,100;
51200,0.010324,0.000278,0.009937,0.01,0.00,0.02,95;
51200,0.010523,0.000182,0.009941,0.01,0.00,0.02,100;
51200,0.010607,0.000184,0.010008,0.01,0.00,0.02,95;
51200,0.010637,0.000289,0.010057,0.01,0.00,0.02,100;
51200,0.010417,0.000271,0.010124,0.02,0.00,0.02,100;
51200,0.010567,0.000189,0.010041,0.01,0.00,0.02,100;
51200,0.010365,0.000181,0.009683,0.02,0.00,0.02,95;
51200,0.010400,0.000246,0.009923,0.02,0.00,0.02,100;
51200,0.010263,0.000182,0.010031,0.02,0.00,0.02,100;
51200,0.010610,0.000194,0.010018,0.02,0.00,0.02,100;
51200,0.010371,0.000301,0.009821,0.02,0.00,0.02,100;
51200,0.010619,0.000271,0.010022,0.01,0.00,0.02,100;
