verteces,verteces_after,init,destroy,tarjan,preprocess_time,user,system,elapsed,pCPU
12500,12500,2.239838,0.018027,2.898168,9.474284,13.66,1.02,14.69,99;
12500,12500,2.239481,0.018332,2.781140,9.268149,13.35,1.01,14.37,99;
12500,12500,2.241531,0.018341,2.793504,9.244777,13.43,0.92,14.36,99;
12500,12500,2.247769,0.017931,3.076515,9.722224,14.11,1.01,15.13,99;
12500,12500,2.241794,0.018345,2.799852,9.271032,13.28,1.11,14.39,99;
12500,12500,2.196856,0.017497,2.947109,9.513208,13.68,1.05,14.74,99;
12500,12500,2.238927,0.018473,3.075426,9.701234,14.08,1.01,15.10,99;
12500,12500,2.243388,0.017489,2.781862,9.273559,13.34,1.03,14.38,99;
12500,12500,2.237731,0.017460,2.785077,9.309793,13.45,0.95,14.41,99;
12500,12500,2.239600,0.017360,3.069500,9.830717,14.22,0.99,15.22,99;
12500,12500,2.237478,0.017488,3.075855,9.700304,13.95,1.13,15.09,99;
12500,12500,2.233495,0.018049,2.790582,9.344956,13.52,0.92,14.45,99;
12500,12500,2.237401,0.018182,3.068238,9.726077,14.09,1.01,15.11,99;
12500,12500,2.194052,0.017244,2.975319,9.534566,13.78,1.00,14.78,99;
12500,12500,2.243562,0.018159,2.794614,9.308648,13.54,0.88,14.43,99;
12500,12500,2.239644,0.018324,3.060326,9.715947,14.07,1.02,15.10,99;
12500,12500,2.241927,0.018342,2.849745,9.294739,13.54,0.92,14.47,99;
12500,12500,2.240357,0.018422,3.065641,9.790965,14.16,1.01,15.18,99;
12500,12500,2.242083,0.017994,2.797272,9.280261,13.39,1.01,14.40,99;
12500,12500,2.239893,0.018218,3.004057,9.507796,13.83,1.00,14.83,99;
12500,12500,2.240292,0.017645,3.006250,9.553563,13.93,0.94,14.88,99;
12500,12500,2.239656,0.018476,3.052011,9.723609,14.03,1.05,15.10,99;
12500,12500,2.239418,0.018044,3.078669,9.770887,14.16,1.01,15.17,99;
12500,12500,2.241395,0.017645,2.962700,9.607674,13.83,1.06,14.89,99;
12500,12500,2.241043,0.017386,2.956952,9.598719,13.87,1.00,14.88,99;
