verteces,verteces_after,init,destroy,tarjan,preprocess_time,user,system,elapsed,pCPU
1000000,0,0.025588,0.000181,0.000001,0.004755,0.03,0.00,0.03,96;
1000000,0,0.025802,0.000229,0.000001,0.004790,0.02,0.00,0.03,96;
1000000,0,0.026025,0.000219,0.000000,0.004844,0.02,0.00,0.03,96;
1000000,0,0.025631,0.000195,0.000000,0.004872,0.02,0.00,0.03,96;
1000000,0,0.025789,0.000183,0.000000,0.004836,0.03,0.00,0.03,100;
1000000,0,0.026059,0.000198,0.000001,0.004852,0.02,0.00,0.03,96;
1000000,0,0.025850,0.000167,0.000001,0.004829,0.03,0.00,0.03,100;
1000000,0,0.025346,0.000185,0.000001,0.004796,0.02,0.00,0.03,100;
1000000,0,0.025983,0.000208,0.000001,0.004805,0.02,0.00,0.03,96;
1000000,0,0.025725,0.000161,0.000001,0.004841,0.03,0.00,0.03,100;
1000000,0,0.026213,0.000190,0.000000,0.004802,0.02,0.00,0.03,96;
1000000,0,0.025970,0.000199,0.000001,0.004833,0.02,0.00,0.03,96;
1000000,0,0.025631,0.000209,0.000001,0.004694,0.03,0.00,0.03,96;
1000000,0,0.025511,0.000217,0.000000,0.004720,0.02,0.00,0.03,100;
1000000,0,0.026018,0.000212,0.000001,0.004817,0.02,0.00,0.03,96;
1000000,0,0.025716,0.000202,0.000001,0.004872,0.02,0.00,0.03,96;
1000000,0,0.025412,0.000154,0.000000,0.004770,0.02,0.00,0.03,96;
1000000,0,0.026005,0.000203,0.000001,0.005048,0.03,0.00,0.03,100;
1000000,0,0.025971,0.000207,0.000001,0.004797,0.03,0.00,0.03,100;
1000000,0,0.025997,0.000186,0.000001,0.004835,0.02,0.00,0.03,96;
1000000,0,0.026012,0.000195,0.000001,0.004796,0.02,0.00,0.03,96;
1000000,0,0.025828,0.000185,0.000000,0.004812,0.03,0.00,0.03,100;
1000000,0,0.025890,0.000197,0.000001,0.004907,0.02,0.00,0.03,96;
1000000,0,0.026160,0.000203,0.000001,0.004794,0.01,0.01,0.03,96;
1000000,0,0.025781,0.000212,0.000001,0.004802,0.03,0.00,0.03,100;
