verteces,verteces_after,init,destroy,tarjan,preprocess_time,user,system,elapsed,pCPU
500000,236518,0.020164,0.000203,0.092046,128.606012,128.65,0.06,128.72,99;
500000,236518,0.020096,0.000172,0.090170,128.232074,128.32,0.02,128.34,99;
500000,236518,0.020273,0.000174,0.090903,129.165639,129.23,0.04,129.28,99;
500000,236518,0.020139,0.000168,0.090931,128.378597,128.46,0.02,128.49,99;
500000,236518,0.019890,0.000197,0.090626,126.798486,126.87,0.03,126.93,99;
500000,236518,0.020247,0.000169,0.091270,128.780163,128.87,0.02,128.89,99;
500000,236518,0.020226,0.000174,0.090663,128.694761,128.77,0.03,128.81,99;
500000,236518,0.019947,0.000176,0.090766,128.490104,128.57,0.02,128.62,99;
500000,236518,0.020244,0.000179,0.091651,128.759569,128.83,0.04,128.87,99;
500000,236518,0.019965,0.000207,0.088445,126.595615,126.69,0.00,126.71,99;
500000,236518,0.020315,0.000176,0.091016,129.308121,129.35,0.07,129.42,99;
500000,236518,0.019905,0.000189,0.090571,126.775409,126.86,0.02,126.92,99;
500000,236518,0.020235,0.000175,0.093004,128.153191,128.24,0.01,128.27,99;
500000,236518,0.020106,0.000174,0.091396,128.191494,128.28,0.01,128.30,99;
500000,236518,0.019782,0.000170,0.089899,128.404091,128.49,0.02,128.54,99;
500000,236518,0.020258,0.000297,0.091820,128.615251,128.66,0.06,128.73,99;
500000,236518,0.020072,0.000188,0.092461,128.590521,128.60,0.09,128.71,99;
500000,236518,0.020370,0.000188,0.090865,128.277243,128.33,0.05,128.39,99;
500000,236518,0.020303,0.000177,0.090647,128.178354,128.26,0.02,128.29,99;
500000,236518,0.020247,0.000191,0.090476,128.240203,128.33,0.01,128.35,99;
500000,236518,0.020161,0.000168,0.090516,128.217366,128.31,0.01,128.33,99;
500000,236518,0.020156,0.000168,0.091210,128.584853,128.69,0.00,128.70,99;
500000,236518,0.020181,0.000203,0.090467,129.018466,129.07,0.05,129.13,99;
500000,236518,0.021112,0.000176,0.090462,126.657329,126.73,0.03,126.80,99;
500000,236518,0.020282,0.000178,0.091300,128.928385,129.01,0.02,129.04,99;
