verteces,verteces_after,init,destroy,tarjan,preprocess_time,user,system,elapsed,pCPU
204800,100352,0.008345,0.000562,0.028442,25.620681,25.64,0.01,25.66,99;
204800,100352,0.008256,0.000592,0.028950,25.451470,25.47,0.01,25.49,99;
204800,100352,0.008248,0.000602,0.029173,25.433239,25.46,0.01,25.47,99;
204800,100352,0.008395,0.000587,0.028651,25.576865,25.59,0.01,25.61,99;
204800,100352,0.008221,0.000583,0.028793,25.368703,25.40,0.00,25.41,99;
204800,100352,0.008448,0.000600,0.028746,25.480370,25.51,0.00,25.52,99;
204800,100352,0.008405,0.000556,0.028570,25.453980,25.47,0.01,25.49,99;
204800,100352,0.008395,0.000593,0.030273,25.459709,25.49,0.00,25.50,99;
204800,100352,0.008307,0.000575,0.029396,25.693618,25.70,0.02,25.73,99;
204800,100352,0.008387,0.000565,0.028762,25.437246,25.44,0.03,25.47,99;
204800,100352,0.008269,0.000597,0.029483,25.386787,25.41,0.01,25.42,99;
204800,100352,0.009547,0.000671,0.029533,25.498266,25.53,0.00,25.53,99;
204800,100352,0.008398,0.000602,0.028001,25.417424,25.43,0.01,25.45,99;
204800,100352,0.008397,0.000581,0.028337,25.318952,25.35,0.00,25.35,99;
204800,100352,0.008428,0.000583,0.029732,25.502831,25.53,0.00,25.54,99;
204800,100352,0.009201,0.000611,0.028651,25.429294,25.46,0.00,25.46,100;
204800,100352,0.008436,0.000585,0.028192,25.386590,25.40,0.01,25.42,99;
204800,100352,0.008315,0.000598,0.028771,25.374264,25.38,0.02,25.41,99;
204800,100352,0.008371,0.000661,0.028240,25.659313,25.68,0.00,25.69,99;
204800,100352,0.008276,0.000589,0.027959,25.495564,25.50,0.03,25.53,99;
204800,100352,0.008460,0.000591,0.028133,25.504177,25.52,0.01,25.54,99;
204800,100352,0.008463,0.000572,0.028967,25.515947,25.54,0.00,25.55,99;
204800,100352,0.008243,0.000592,0.028816,25.382738,25.39,0.02,25.42,99;
204800,100352,0.008307,0.000582,0.029045,25.574635,25.59,0.01,25.61,99;
204800,100352,0.008411,0.000583,0.027360,25.301590,25.33,0.00,25.33,99;
